invoice_id;user_id;plan_id;plan_duration;transaction_date;subscription_price;discount_applied;fees_charged;amount_paid
ALNtNdnZ5g;jpvAY4jgqX;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
UB/p3I3soC;7lnc9S0e+k;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
JPqaABdS9/;rSRvTF4HKP;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
qFP1t+jHi2;2P8ziCzzMW;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
/RBlpp5X7q;i677ChXxOx;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
H3AypDj3Ai;fA5UG1Mnnv;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
y4rkMYO6J4;CgfDlIBStt;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
kkBsG68+YF;3vXc/67AXW;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
tfIRS7qnWY;RKKBvxuk4k;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
DqaiSfpw+P;OsEZRClrlD;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
ujMGhbIY7T;Of3Vm6oZtD;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
ySOJDCmmH8;053Mdt7Jf7;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
yTAhbrDCIi;id3bk1sSR7;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$2,64;$27,36
lYmuiMvbCw;WdxkulV58z;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
Tr0O5a7gIV;ncA7TUqZ5f;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
wcHjQ1iHpP;xxpbNg3fDL;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$0,00;$30,00
v+JIioDVPu;kc1JF9dSLK;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
0rpQKVlPM9;UeQ20vlQx8;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
RVZ6cTn8Pm;xoi6gw7WRz;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
HYX/RkU+pT;0E6YawZVek;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
VyF9bG+qut;nwEE6NC8il;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
br2B78RabG;c3wNKUy3vA;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$2,64;$27,36
vkjjTh5shF;j5T8LWDmip;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
7eWckvEClZ;rb2nEf9WP+;3ZksraziGv;Monthly;2022-04-01;$30,00;$15,00;$1,39;$13,61
2fv0nAWQ9n;+zQV2pfq4Y;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
RRMLDZgQE6;JPt2AlmsOY;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
OvDEKl8Wbr;TeMoaJGEC5;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$2,64;$27,36
buf7rpTdPC;bf8NlkGRZz;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
l3FiMoJ/W2;h8K1R9w5cc;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
