user_id,ad_source,platform,country,total_revenue,purchase_count,first_purchase_date,last_purchase_date,ltv_usd
100001,instagram,ios,GR,1,1,2025-01-01,2025-01-01,1.0
100001,instagram,ios,MT,90,2,2025-01-31,2025-08-23,135.0
100001,instagram,ios,LV,168,1,2025-07-14,2025-07-14,168.0
100002,twitter,android,EE,12,1,2025-01-02,2025-01-02,12.0
100002,twitter,android,HR,8,1,2025-01-31,2025-01-31,8.0
100002,twitter,android,PT,129,1,2025-10-24,2025-10-24,129.0
100002,twitter,android,BE,265,1,2025-12-30,2025-12-30,265.0
100003,affiliate,ios,PT,33,1,2025-05-13,2025-05-13,33.0
100003,affiliate,ios,AT,87,1,2025-06-13,2025-06-13,87.0
100003,affiliate,ios,ES,77,1,2025-09-11,2025-09-11,77.0
100003,affiliate,ios,CZ,44,1,2025-10-23,2025-10-23,44.0
100004,affiliate,android,LV,86,1,2025-04-19,2025-04-19,86.0
100004,affiliate,android,BE,25,1,2025-05-08,2025-05-08,25.0
100004,affiliate,android,DE,209,1,2025-10-08,2025-10-08,209.0
100004,affiliate,android,DK,103,1,2025-11-26,2025-11-26,103.0
100005,affiliate,android,PL,9,1,2025-01-15,2025-01-15,9.0
100005,affiliate,android,EE,9,1,2025-01-24,2025-01-24,9.0
100005,affiliate,android,CY,13,1,2025-04-01,2025-04-01,13.0
100005,affiliate,android,BG,162,1,2025-11-03,2025-11-03,162.0
100006,twitter,ios,MT,12,1,2025-01-08,2025-01-08,12.0
100006,twitter,ios,SI,130,1,2025-07-20,2025-07-20,130.0
100006,twitter,ios,IE,182,1,2025-11-05,2025-11-05,182.0
100006,twitter,ios,LV,172,1,2025-11-28,2025-11-28,172.0
100007,facebook,android,IT,7,1,2025-01-11,2025-01-11,7.0
100007,facebook,android,FI,9,1,2025-01-19,2025-01-19,9.0
100007,facebook,android,ES,21,1,2025-10-13,2025-10-13,21.0
100007,facebook,android,GR,54,1,2025-11-27,2025-11-27,54.0
100008,facebook,android,DK,4,1,2025-01-01,2025-01-01,4.0
100008,facebook,android,AT,17,1,2025-02-19,2025-02-19,17.0
100008,facebook,android,RO,39,1,2025-06-28,2025-06-28,39.0
100008,facebook,android,MT,88,1,2025-12-25,2025-12-25,88.0
100009,facebook,android,DE,113,1,2025-05-07,2025-05-07,113.0
100009,facebook,android,CY,75,2,2025-06-09,2025-10-05,112.5
100009,facebook,android,LV,236,1,2025-11-02,2025-11-02,236.0
100010,tiktok,ios,LT,52,1,2025-02-18,2025-02-18,52.0
100010,tiktok,ios,FR,47,1,2025-03-09,2025-03-09,47.0
100010,tiktok,ios,EE,32,1,2025-04-14,2025-04-14,32.0
100010,tiktok,ios,BG,58,1,2025-05-10,2025-05-10,58.0
100011,tiktok,ios,HU,15,1,2025-02-06,2025-02-06,15.0
100011,tiktok,ios,ES,53,1,2025-06-30,2025-06-30,53.0
100011,tiktok,ios,LV,136,1,2025-08-06,2025-08-06,136.0
100011,tiktok,ios,IT,31,1,2025-10-13,2025-10-13,31.0
100012,facebook,android,HR,8,1,2025-01-18,2025-01-18,8.0
100012,facebook,android,CZ,25,1,2025-04-02,2025-04-02,25.0
100012,facebook,android,EE,130,1,2025-05-27,2025-05-27,130.0
100012,facebook,android,RO,233,1,2025-10-01,2025-10-01,233.0
100013,facebook,ios,IE,175,2,2025-01-31,2025-06-11,262.5
100013,facebook,ios,IT,7,1,2025-02-22,2025-02-22,7.0
100013,facebook,ios,MT,36,1,2025-10-19,2025-10-19,36.0
100014,facebook,ios,IT,9,1,2025-03-17,2025-03-17,9.0
100014,facebook,ios,SI,63,1,2025-03-31,2025-03-31,63.0
