date_day,ad_source,campaign_id,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions,revenue_usd
2025-01-01,facebook,fa_0001,Lookalike Scale Jan,SE,android,669.01,22336,640,63,27,0.0
2025-01-02,facebook,fa_0002,Retargeting Loop Jan,IE,ios,475.67,33283,655,57,25,0.0
2025-01-03,facebook,fa_0003,Prospecting EU Jan,IT,ios,632.08,20703,760,72,39,0.0
2025-01-04,facebook,fa_0004,Lookalike Scale Jan,IT,android,395.39,14951,439,38,18,0.0
2025-01-05,facebook,fa_0005,Retargeting Loop Jan,FR,ios,546.49,19593,518,44,14,0.0
2025-01-06,facebook,fa_0006,Prospecting EU Jan,ES,android,453.26,22222,590,50,21,0.0
2025-01-07,facebook,fa_0007,Lookalike Scale Jan,ES,ios,521.85,17238,522,39,17,0.0
2025-01-08,facebook,fa_0008,Retargeting Loop Jan,IT,android,530.28,19285,509,48,24,0.0
2025-01-09,facebook,fa_0009,Prospecting EU Jan,FR,ios,408.7,14010,370,21,14,0.0
2025-01-10,facebook,fa_0010,Lookalike Scale Jan,FR,android,648.69,22229,654,63,20,0.0
2025-01-11,facebook,fa_0011,Retargeting Loop Jan,PT,android,371.98,16500,373,37,13,0.0
2025-01-12,facebook,fa_0012,Prospecting EU Jan,IT,android,388.22,13611,408,29,18,0.0
2025-01-13,facebook,fa_0013,Lookalike Scale Jan,PT,ios,533.69,30894,715,50,30,0.0
2025-01-14,facebook,fa_0014,Retargeting Loop Jan,FR,ios,639.88,21344,613,66,24,0.0
2025-01-15,facebook,fa_0015,Prospecting EU Jan,FR,android,513.51,18864,588,52,23,0.0
2025-01-16,facebook,fa_0016,Lookalike Scale Jan,PL,android,740.85,25707,747,43,22,0.0
2025-01-17,facebook,fa_0017,Retargeting Loop Jan,BE,ios,577.48,15374,465,53,16,0.0
2025-01-18,facebook,fa_0018,Prospecting EU Jan,FR,ios,455.96,16259,414,28,15,0.0
2025-01-19,facebook,fa_0019,Lookalike Scale Jan,NL,ios,505.03,20969,500,52,16,0.0
2025-01-20,facebook,fa_0020,Retargeting Loop Jan,PT,ios,568.86,19850,618,57,24,0.0
2025-01-21,facebook,fa_0021,Prospecting EU Jan,SE,android,493.69,21721,574,37,17,0.0
2025-01-22,facebook,fa_0022,Lookalike Scale Jan,FR,android,534.89,30731,725,58,31,0.0
2025-01-23,facebook,fa_0023,Retargeting Loop Jan,IT,ios,593.03,24408,606,72,20,0.0
2025-01-24,facebook,fa_0024,Prospecting EU Jan,ES,ios,707.44,23946,577,67,18,0.0
2025-01-25,facebook,fa_0025,Lookalike Scale Jan,IE,ios,492.72,15937,476,35,14,0.0
2025-01-26,facebook,fa_0026,Retargeting Loop Jan,NL,android,506.83,21426,628,75,22,0.0
2025-01-27,facebook,fa_0027,Prospecting EU Jan,FR,ios,397.97,10611,348,26,13,0.0
2025-01-28,facebook,fa_0028,Lookalike Scale Jan,ES,ios,557.78,30953,697,65,27,0.0
2025-01-29,facebook,fa_0029,Retargeting Loop Jan,IT,android,577.23,26012,707,40,23,0.0
