date_day,ad_source,campaign_id,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions,revenue_usd
2025-01-01,google_ads,go_0001,Brand Search Jan,PT,ios,1065.21,11762,875,0,81,0.0
2025-01-02,google_ads,go_0002,Generic Search Jan,ES,android,1064.95,11779,803,0,76,0.0
2025-01-03,google_ads,go_0003,Competitor Search Jan,PL,ios,901.45,8592,700,0,49,0.0
2025-01-04,google_ads,go_0004,Brand Search Jan,FR,android,808.64,9719,653,0,58,0.0
2025-01-05,google_ads,go_0005,Generic Search Jan,FR,android,809.81,9098,567,0,49,0.0
2025-01-06,google_ads,go_0006,Competitor Search Jan,BE,android,995.44,10430,601,0,54,0.0
2025-01-07,google_ads,go_0007,Brand Search Jan,IT,android,1289.26,12222,760,0,72,0.0
2025-01-08,google_ads,go_0008,Generic Search Jan,IE,ios,948.26,10237,546,0,48,0.0
2025-01-09,google_ads,go_0009,Competitor Search Jan,SE,android,947.15,8018,558,0,59,0.0
2025-01-10,google_ads,go_0010,Brand Search Jan,PT,android,924.17,11460,930,0,65,0.0
2025-01-11,google_ads,go_0011,Generic Search Jan,FR,ios,927.2,9596,525,0,47,0.0
2025-01-12,google_ads,go_0012,Competitor Search Jan,IE,android,762.95,9076,509,0,44,0.0
2025-01-13,google_ads,go_0013,Brand Search Jan,ES,android,975.3,14284,829,0,57,0.0
2025-01-14,google_ads,go_0014,Generic Search Jan,IT,android,1109.24,13011,857,0,74,0.0
2025-01-15,google_ads,go_0015,Competitor Search Jan,BE,ios,1092.76,13504,806,0,66,0.0
2025-01-16,google_ads,go_0016,Brand Search Jan,ES,android,852.77,8876,658,0,47,0.0
2025-01-17,google_ads,go_0017,Generic Search Jan,SE,ios,1238.42,9982,757,0,69,0.0
2025-01-18,google_ads,go_0018,Competitor Search Jan,FR,android,841.21,9682,600,0,49,0.0
2025-01-19,google_ads,go_0019,Brand Search Jan,IT,ios,917.54,7750,508,0,49,0.0
2025-01-20,google_ads,go_0020,Generic Search Jan,IT,ios,1033.26,9575,589,0,47,0.0
2025-01-21,google_ads,go_0021,Competitor Search Jan,PL,android,1224.71,14877,1084,0,110,0.0
2025-01-22,google_ads,go_0022,Brand Search Jan,FR,android,939.46,8404,691,0,62,0.0
2025-01-23,google_ads,go_0023,Generic Search Jan,SE,ios,901.49,9401,559,0,50,0.0
2025-01-24,google_ads,go_0024,Competitor Search Jan,IE,android,1044.62,10710,684,0,67,0.0
2025-01-25,google_ads,go_0025,Brand Search Jan,PL,android,967.43,11446,672,0,74,0.0
2025-01-26,google_ads,go_0026,Generic Search Jan,SE,android,808.76,7855,562,0,48,0.0
2025-01-27,google_ads,go_0027,Competitor Search Jan,ES,ios,1113.57,11340,810,0,71,0.0
2025-01-28,google_ads,go_0028,Brand Search Jan,DE,ios,1205.0,14653,899,0,76,0.0
2025-01-29,google_ads,go_0029,Generic Search Jan,FR,android,793.41,7715,508,0,45,0.0
2025-01-30,google_ads,go_0030,Competitor Search Jan,ES,android,1180.53,9428,810,0,50,0.0
2025-01-31,google_ads,go_0031,Brand Search Jan,DE,ios,1147.59,10405,881,0,92,0.0
2025-02-01,google_ads,go_0032,Generic Search Feb,SE,ios,756.22,11184,680,0,72,0.0
2025-02-02,google_ads,go_0033,Competitor Search Feb,ES,ios,805.74,7873,536,0,55,0.0
2025-02-03,google_ads,go_0034,Brand Search Feb,IT,ios,925.04,10050,652,0,56,0.0
2025-02-04,google_ads,go_0035,Generic Search Feb,ES,ios,1104.62,15829,1134,0,74,0.0
2025-02-05,google_ads,go_0036,Competitor Search Feb,IT,android,904.36,10405,614,0,44,0.0
2025-02-06,google_ads,go_0037,Brand Search Feb,IT,ios,1079.89,12122,881,0,76,0.0
2025-02-07,google_ads,go_0038,Generic Search Feb,PT,ios,1183.18,10494,803,0,64,0.0
2025-02-08,google_ads,go_0039,Competitor Search Feb,FR,android,613.32,5526,433,0,28,0.0
2025-02-09,google_ads,go_0040,Brand Search Feb,ES,ios,861.43,9266,522,0,40,0.0
2025-02-10,google_ads,go_0041,Generic Search Feb,BE,ios,980.55,9553,796,0,51,0.0
2025-02-11,google_ads,go_0042,Competitor Search Feb,BE,ios,922.27,8732,531,0,36,0.0
2025-02-12,google_ads,go_0043,Brand Search Feb,PT,ios,1052.24,12534,714,0,62,0.0
2025-02-13,google_ads,go_0044,Generic Search Feb,BE,android,972.96,6849,533,0,39,0.0
2025-02-14,google_ads,go_0045,Competitor Search Feb,PL,android,775.8,6664,505,0,35,0.0
2025-02-15,google_ads,go_0046,Brand Search Feb,ES,android,743.58,7391,504,0,37,0.0
2025-02-16,google_ads,go_0047,Generic Search Feb,DE,android,809.16,8173,621,0,47,0.0
2025-02-17,google_ads,go_0048,Competitor Search Feb,ES,android,885.93,6626,492,0,44,0.0
2025-02-18,google_ads,go_0049,Brand Search Feb,PL,ios,803.46,6526,466,0,44,0.0
2025-02-19,google_ads,go_0050,Generic Search Feb,FR,android,1331.88,14675,879,0,82,0.0
2025-02-20,google_ads,go_0051,Competitor Search Feb,BE,android,1190.27,12810,843,0,66,0.0
2025-02-21,google_ads,go_0052,Brand Search Feb,PL,ios,1169.68,12255,841,0,66,0.0
2025-02-22,google_ads,go_0053,Generic Search Feb,ES,android,823.83,7430,582,0,62,0.0
2025-02-23,google_ads,go_0054,Competitor Search Feb,IT,android,575.74,4724,384,0,33,0.0
2025-02-24,google_ads,go_0055,Brand Search Feb,FR,ios,949.47,10770,727,0,56,0.0
2025-02-25,google_ads,go_0056,Generic Search Feb,BE,ios,1063.21,12212,779,0,74,0.0
2025-02-26,google_ads,go_0057,Competitor Search Feb,BE,android,926.13,9755,607,0,43,0.0
2025-02-27,google_ads,go_0058,Brand Search Feb,IT,android,907.18,8607,654,0,68,0.0
2025-02-28,google_ads,go_0059,Generic Search Feb,FR,ios,1036.92,11958,758,0,80,0.0
2025-03-01,google_ads,go_0060,Competitor Search Mar,DE,android,1053.39,7414,637,0,60,0.0
2025-03-02,google_ads,go_0061,Brand Search Mar,IT,android,847.7,6962,489,0,23,0.0
2025-03-03,google_ads,go_0062,Generic Search Mar,IT,android,1009.68,9302,650,0,57,0.0
2025-03-04,google_ads,go_0063,Competitor Search Mar,PT,ios,892.58,7844,582,0,54,0.0
2025-03-05,google_ads,go_0064,Brand Search Mar,IE,ios,1206.05,11572,794,0,70,0.0
2025-03-06,google_ads,go_0065,Generic Search Mar,DE,ios,1044.5,11640,716,0,83,0.0
2025-03-07,google_ads,go_0066,Competitor Search Mar,PT,ios,994.02,9558,665,0,50,0.0
2025-03-08,google_ads,go_0067,Brand Search Mar,SE,ios,786.76,7038,507,0,40,0.0
2025-03-09,google_ads,go_0068,Generic Search Mar,IE,ios,756.94,8978,581,0,57,0.0
2025-03-10,google_ads,go_0069,Competitor Search Mar,SE,android,1038.22,12641,847,0,73,0.0
2025-03-11,google_ads,go_0070,Brand Search Mar,IT,ios,1293.57,14169,970,0,96,0.0
2025-03-12,google_ads,go_0071,Generic Search Mar,SE,ios,1019.37,14251,767,0,66,0.0
2025-03-13,google_ads,go_0072,Competitor Search Mar,PL,ios,1086.46,11167,698,0,54,0.0
2025-03-14,google_ads,go_0073,Brand Search Mar,BE,android,906.81,8305,562,0,41,0.0
2025-03-15,google_ads,go_0074,Generic Search Mar,FR,ios,866.03,9892,590,0,49,0.0
2025-03-16,google_ads,go_0075,Competitor Search Mar,BE,android,668.07,7335,534,0,43,0.0
2025-03-17,google_ads,go_0076,Brand Search Mar,ES,android,1214.53,13545,991,0,95,0.0
2025-03-18,google_ads,go_0077,Generic Search Mar,ES,ios,941.79,16217,827,0,75,0.0
2025-03-19,google_ads,go_0078,Competitor Search Mar,BE,ios,1085.87,11707,751,0,47,0.0
2025-03-20,google_ads,go_0079,Brand Search Mar,FR,android,1034.88,9063,656,0,64,0.0
2025-03-21,google_ads,go_0080,Generic Search Mar,IT,android,1215.73,13766,912,0,73,0.0
2025-03-22,google_ads,go_0081,Competitor Search Mar,FR,android,901.82,8922,651,0,46,0.0
2025-03-23,google_ads,go_0082,Brand Search Mar,DE,android,906.78,8305,613,0,68,0.0
2025-03-24,google_ads,go_0083,Generic Search Mar,ES,android,794.88,9728,550,0,46,0.0
2025-03-25,google_ads,go_0084,Competitor Search Mar,NL,ios,863.92,7849,556,0,48,0.0
2025-03-26,google_ads,go_0085,Brand Search Mar,ES,ios,859.21,10079,621,0,57,0.0
2025-03-27,google_ads,go_0086,Generic Search Mar,ES,ios,867.05,12327,618,0,44,0.0
2025-03-28,google_ads,go_0087,Competitor Search Mar,FR,android,881.57,8490,619,0,54,0.0
2025-03-29,google_ads,go_0088,Brand Search Mar,NL,android,921.22,8694,544,0,48,0.0
2025-03-30,google_ads,go_0089,Generic Search Mar,PT,ios,810.87,8184,555,0,43,0.0
2025-03-31,google_ads,go_0090,Competitor Search Mar,SE,ios,997.75,8192,609,0,55,0.0
2025-04-01,google_ads,go_0091,Brand Search Apr,FR,android,867.03,7919,609,0,58,0.0
2025-04-02,google_ads,go_0092,Generic Search Apr,IT,ios,864.37,7913,528,0,47,0.0
2025-04-03,google_ads,go_0093,Competitor Search Apr,SE,android,805.38,8945,549,0,33,0.0
2025-04-04,google_ads,go_0094,Brand Search Apr,SE,ios,1140.55,14184,903,0,73,0.0
2025-04-05,google_ads,go_0095,Generic Search Apr,DE,android,825.87,9012,699,0,63,0.0
2025-04-06,google_ads,go_0096,Competitor Search Apr,IT,ios,894.28,8285,548,0,58,0.0
2025-04-07,google_ads,go_0097,Brand Search Apr,FR,android,1023.11,9419,784,0,74,0.0
2025-04-08,google_ads,go_0098,Generic Search Apr,FR,android,863.68,7331,597,0,54,0.0
2025-04-09,google_ads,go_0099,Competitor Search Apr,PT,android,980.06,12827,815,0,58,0.0
2025-04-10,google_ads,go_0100,Brand Search Apr,BE,android,691.75,5508,460,0,43,0.0
2025-04-11,google_ads,go_0101,Generic Search Apr,DE,ios,1087.19,12825,824,0,96,0.0
2025-04-12,google_ads,go_0102,Competitor Search Apr,FR,ios,814.36,6798,462,0,40,0.0
2025-04-13,google_ads,go_0103,Brand Search Apr,ES,android,835.9,9129,625,0,51,0.0
2025-04-14,google_ads,go_0104,Generic Search Apr,PL,ios,1003.22,10419,631,0,55,0.0
2025-04-15,google_ads,go_0105,Competitor Search Apr,SE,android,1072.87,8006,558,0,52,0.0
2025-04-16,google_ads,go_0106,Brand Search Apr,PL,ios,955.6,7491,554,0,45,0.0
2025-04-17,google_ads,go_0107,Generic Search Apr,IT,android,992.25,7067,618,0,54,0.0
2025-04-18,google_ads,go_0108,Competitor Search Apr,DE,ios,892.84,8868,708,0,51,0.0
2025-04-19,google_ads,go_0109,Brand Search Apr,FR,android,781.82,7077,456,0,37,0.0
2025-04-20,google_ads,go_0110,Generic Search Apr,DE,ios,846.37,6666,476,0,41,0.0
2025-04-21,google_ads,go_0111,Competitor Search Apr,DE,android,1113.71,10155,793,0,63,0.0
2025-04-22,google_ads,go_0112,Brand Search Apr,NL,android,935.57,9320,633,0,46,0.0
