date_day,ad_source,campaign_id,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions,revenue_usd
2025-01-01,instagram,in_0001,Stories Prospecting Jan,PT,android,609.06,24697,591,35,17,0.0
2025-01-02,instagram,in_0002,Reels Scale Jan,PL,android,729.68,45719,900,83,20,0.0
2025-01-03,instagram,in_0003,Brand Reach Jan,DE,ios,634.91,30808,695,74,17,0.0
2025-01-04,instagram,in_0004,Stories Prospecting Jan,IT,ios,389.75,18256,439,44,12,0.0
2025-01-05,instagram,in_0005,Reels Scale Jan,PL,ios,421.03,22372,568,36,19,0.0
2025-01-06,instagram,in_0006,Brand Reach Jan,IT,ios,627.52,24354,537,45,21,0.0
2025-01-07,instagram,in_0007,Stories Prospecting Jan,PT,ios,556.56,35686,775,41,16,0.0
2025-01-08,instagram,in_0008,Reels Scale Jan,IT,ios,653.49,27476,549,37,16,0.0
2025-01-09,instagram,in_0009,Brand Reach Jan,DE,ios,407.73,26370,519,36,12,0.0
2025-01-10,instagram,in_0010,Stories Prospecting Jan,DE,ios,725.65,38205,806,84,27,0.0
2025-01-11,instagram,in_0011,Reels Scale Jan,SE,ios,580.38,30361,617,72,18,0.0
2025-01-12,instagram,in_0012,Brand Reach Jan,FR,ios,366.1,15635,360,37,11,0.0
2025-01-13,instagram,in_0013,Stories Prospecting Jan,IT,android,536.8,32457,702,69,20,0.0
2025-01-14,instagram,in_0014,Reels Scale Jan,NL,ios,512.68,20161,403,42,10,0.0
2025-01-15,instagram,in_0015,Brand Reach Jan,IE,android,531.07,23016,578,59,14,0.0
2025-01-16,instagram,in_0016,Stories Prospecting Jan,IE,android,638.07,26032,512,47,14,0.0
2025-01-17,instagram,in_0017,Reels Scale Jan,PL,ios,521.87,20959,471,48,16,0.0
2025-01-18,instagram,in_0018,Brand Reach Jan,DE,ios,402.05,19040,422,23,16,0.0
2025-01-19,instagram,in_0019,Stories Prospecting Jan,DE,ios,507.87,32608,616,50,21,0.0
2025-01-20,instagram,in_0020,Reels Scale Jan,IT,ios,670.25,31226,644,77,18,0.0
2025-01-21,instagram,in_0021,Brand Reach Jan,IT,ios,529.57,23861,510,29,19,0.0
2025-01-22,instagram,in_0022,Stories Prospecting Jan,IT,ios,588.25,37787,716,82,22,0.0
2025-01-23,instagram,in_0023,Reels Scale Jan,DE,ios,451.08,28761,480,57,14,0.0
2025-01-24,instagram,in_0024,Brand Reach Jan,ES,android,644.62,20841,595,55,17,0.0
2025-01-25,instagram,in_0025,Stories Prospecting Jan,ES,ios,612.89,28340,530,45,13,0.0
2025-01-26,instagram,in_0026,Reels Scale Jan,IE,android,503.33,27113,533,42,11,0.0
2025-01-27,instagram,in_0027,Brand Reach Jan,FR,ios,561.36,30288,601,67,15,0.0
2025-01-28,instagram,in_0028,Stories Prospecting Jan,IT,ios,403.13,23957,493,43,14,0.0
2025-01-29,instagram,in_0029,Reels Scale Jan,PL,android,540.99,31593,733,52,22,0.0
2025-01-30,instagram,in_0030,Brand Reach Jan,PT,ios,401.46,15458,356,21,8,0.0
2025-01-31,instagram,in_0031,Stories Prospecting Jan,DE,android,628.72,33419,630,75,17,0.0
2025-02-01,instagram,in_0032,Reels Scale Feb,NL,android,581.95,29512,640,55,13,0.0
2025-02-02,instagram,in_0033,Brand Reach Feb,FR,ios,556.34,20898,473,24,16,0.0
2025-02-03,instagram,in_0034,Stories Prospecting Feb,DE,ios,579.69,25922,520,37,13,0.0
2025-02-04,instagram,in_0035,Reels Scale Feb,IE,ios,605.94,38568,925,73,22,0.0
2025-02-05,instagram,in_0036,Brand Reach Feb,FR,ios,511.69,44144,946,103,30,0.0
2025-02-06,instagram,in_0037,Stories Prospecting Feb,PT,ios,584.57,25802,604,67,17,0.0
2025-02-07,instagram,in_0038,Reels Scale Feb,DE,android,584.51,39044,687,69,16,0.0
2025-02-08,instagram,in_0039,Brand Reach Feb,ES,android,463.09,15949,415,47,15,0.0
2025-02-09,instagram,in_0040,Stories Prospecting Feb,PT,ios,286.88,19307,391,20,10,0.0
2025-02-10,instagram,in_0041,Reels Scale Feb,IT,android,586.09,30987,551,41,17,0.0
2025-02-11,instagram,in_0042,Brand Reach Feb,SE,ios,600.89,31521,572,33,15,0.0
2025-02-12,instagram,in_0043,Stories Prospecting Feb,FR,ios,502.85,36344,673,79,22,0.0
2025-02-13,instagram,in_0044,Reels Scale Feb,FR,ios,598.02,20625,450,50,15,0.0
2025-02-14,instagram,in_0045,Brand Reach Feb,FR,ios,628.35,54728,773,67,20,0.0
2025-02-15,instagram,in_0046,Stories Prospecting Feb,ES,android,318.41,18269,329,39,8,0.0
2025-02-16,instagram,in_0047,Reels Scale Feb,IT,android,520.6,24834,601,35,21,0.0
2025-02-17,instagram,in_0048,Brand Reach Feb,NL,ios,519.3,24129,595,42,18,0.0
2025-02-18,instagram,in_0049,Stories Prospecting Feb,IE,ios,465.69,33523,596,64,20,0.0
2025-02-19,instagram,in_0050,Reels Scale Feb,SE,android,570.31,32517,698,36,21,0.0
2025-02-20,instagram,in_0051,Brand Reach Feb,FR,ios,492.91,22174,482,47,17,0.0
2025-02-21,instagram,in_0052,Stories Prospecting Feb,DE,android,517.66,39066,797,67,25,0.0
2025-02-22,instagram,in_0053,Reels Scale Feb,DE,android,388.25,21725,422,22,11,0.0
2025-02-23,instagram,in_0054,Brand Reach Feb,PL,ios,410.29,18359,433,44,16,0.0
2025-02-24,instagram,in_0055,Stories Prospecting Feb,BE,android,456.55,23369,476,35,14,0.0
2025-02-25,instagram,in_0056,Reels Scale Feb,FR,ios,506.97,24549,535,27,16,0.0
2025-02-26,instagram,in_0057,Brand Reach Feb,FR,ios,466.52,15280,360,42,11,0.0
2025-02-27,instagram,in_0058,Stories Prospecting Feb,SE,android,445.66,25463,468,33,16,0.0
2025-02-28,instagram,in_0059,Reels Scale Feb,PT,android,642.08,37424,692,59,18,0.0
2025-03-01,instagram,in_0060,Brand Reach Mar,DE,ios,457.82,20023,559,35,16,0.0
2025-03-02,instagram,in_0061,Stories Prospecting Mar,IT,ios,484.5,22331,407,41,12,0.0
2025-03-03,instagram,in_0062,Reels Scale Mar,SE,android,696.89,23970,590,62,16,0.0
2025-03-04,instagram,in_0063,Brand Reach Mar,IT,ios,611.33,31735,787,90,19,0.0
2025-03-05,instagram,in_0064,Stories Prospecting Mar,PT,android,558.62,33905,731,53,11,0.0
2025-03-06,instagram,in_0065,Reels Scale Mar,BE,android,468.65,30159,613,45,15,0.0
2025-03-07,instagram,in_0066,Brand Reach Mar,SE,ios,622.15,26364,554,56,19,0.0
2025-03-08,instagram,in_0067,Stories Prospecting Mar,PL,android,489.08,25949,494,27,14,0.0
2025-03-09,instagram,in_0068,Reels Scale Mar,NL,android,526.34,22888,488,27,13,0.0
2025-03-10,instagram,in_0069,Brand Reach Mar,IT,android,547.67,34255,706,79,20,0.0
2025-03-11,instagram,in_0070,Stories Prospecting Mar,PL,android,528.11,28624,563,37,19,0.0
2025-03-12,instagram,in_0071,Reels Scale Mar,ES,ios,388.37,20278,409,29,12,0.0
2025-03-13,instagram,in_0072,Brand Reach Mar,BE,android,602.73,22190,527,28,14,0.0
2025-03-14,instagram,in_0073,Stories Prospecting Mar,DE,ios,432.32,25322,539,37,17,0.0
2025-03-15,instagram,in_0074,Reels Scale Mar,DE,ios,423.72,43527,897,61,31,0.0
2025-03-16,instagram,in_0075,Brand Reach Mar,BE,ios,488.99,20216,545,40,17,0.0
2025-03-17,instagram,in_0076,Stories Prospecting Mar,PL,android,561.58,23179,491,43,15,0.0
2025-03-18,instagram,in_0077,Reels Scale Mar,SE,android,548.07,18707,432,23,9,0.0
2025-03-19,instagram,in_0078,Brand Reach Mar,PL,android,591.86,55819,1040,124,22,0.0
2025-03-20,instagram,in_0079,Stories Prospecting Mar,IT,ios,411.55,21815,395,38,11,0.0
2025-03-21,instagram,in_0080,Reels Scale Mar,PL,ios,559.35,22539,511,59,13,0.0
2025-03-22,instagram,in_0081,Brand Reach Mar,IE,android,539.18,22649,546,33,14,0.0
2025-03-23,instagram,in_0082,Stories Prospecting Mar,PL,android,532.41,49585,611,52,18,0.0
2025-03-24,instagram,in_0083,Reels Scale Mar,ES,ios,433.67,18028,419,43,13,0.0
2025-03-25,instagram,in_0084,Brand Reach Mar,NL,android,631.94,28467,670,71,28,0.0
2025-03-26,instagram,in_0085,Stories Prospecting Mar,FR,ios,590.57,22597,481,45,12,0.0
2025-03-27,instagram,in_0086,Reels Scale Mar,PL,ios,475.14,24457,565,52,17,0.0
2025-03-28,instagram,in_0087,Brand Reach Mar,IE,ios,444.66,19237,347,31,14,0.0
2025-03-29,instagram,in_0088,Stories Prospecting Mar,PT,ios,445.25,21013,469,27,12,0.0
2025-03-30,instagram,in_0089,Reels Scale Mar,PT,android,547.4,36054,643,65,20,0.0
2025-03-31,instagram,in_0090,Brand Reach Mar,FR,ios,594.02,25531,521,35,12,0.0
2025-04-01,instagram,in_0091,Stories Prospecting Apr,IT,ios,478.11,24983,499,51,17,0.0
2025-04-02,instagram,in_0092,Reels Scale Apr,ES,android,563.45,23575,508,42,13,0.0
2025-04-03,instagram,in_0093,Brand Reach Apr,ES,ios,640.13,35573,607,40,19,0.0
2025-04-04,instagram,in_0094,Stories Prospecting Apr,NL,ios,547.7,28590,625,38,20,0.0
2025-04-05,instagram,in_0095,Reels Scale Apr,DE,ios,424.26,21058,466,41,12,0.0
2025-04-06,instagram,in_0096,Brand Reach Apr,NL,ios,485.84,15169,371,44,8,0.0
2025-04-07,instagram,in_0097,Stories Prospecting Apr,PT,android,385.55,26378,509,60,13,0.0
2025-04-08,instagram,in_0098,Reels Scale Apr,FR,android,590.45,25472,573,65,17,0.0
2025-04-09,instagram,in_0099,Brand Reach Apr,SE,ios,443.96,19952,380,19,12,0.0
2025-04-10,instagram,in_0100,Stories Prospecting Apr,ES,android,547.77,22562,508,55,17,0.0
2025-04-11,instagram,in_0101,Reels Scale Apr,DE,android,583.95,25898,494,38,12,0.0
2025-04-12,instagram,in_0102,Brand Reach Apr,DE,ios,445.41,31139,554,37,20,0.0
2025-04-13,instagram,in_0103,Stories Prospecting Apr,NL,android,404.98,19152,368,27,11,0.0
2025-04-14,instagram,in_0104,Reels Scale Apr,PT,ios,523.52,17679,453,35,13,0.0
2025-04-15,instagram,in_0105,Brand Reach Apr,PL,android,620.9,37115,940,74,24,0.0
2025-04-16,instagram,in_0106,Stories Prospecting Apr,PT,android,444.93,20155,428,36,10,0.0
2025-04-17,instagram,in_0107,Reels Scale Apr,NL,ios,482.08,25805,551,47,10,0.0
2025-04-18,instagram,in_0108,Brand Reach Apr,DE,android,580.63,31160,690,55,18,0.0
2025-04-19,instagram,in_0109,Stories Prospecting Apr,DE,ios,508.07,27842,462,32,13,0.0
2025-04-20,instagram,in_0110,Reels Scale Apr,SE,android,453.96,16567,446,24,16,0.0
2025-04-21,instagram,in_0111,Brand Reach Apr,BE,android,511.86,23529,429,24,14,0.0
2025-04-22,instagram,in_0112,Stories Prospecting Apr,SE,android,611.98,34069,594,30,14,0.0
2025-04-23,instagram,in_0113,Reels Scale Apr,SE,android,523.34,40258,825,41,26,0.0
2025-04-24,instagram,in_0114,Brand Reach Apr,PT,ios,721.54,46942,852,94,20,0.0
2025-04-25,instagram,in_0115,Stories Prospecting Apr,ES,ios,663.24,29642,651,57,25,0.0
2025-04-26,instagram,in_0116,Reels Scale Apr,SE,android,580.93,23276,534,47,22,0.0
2025-04-27,instagram,in_0117,Brand Reach Apr,DE,android,391.84,23106,463,33,14,0.0
2025-04-28,instagram,in_0118,Stories Prospecting Apr,ES,ios,516.59,22874,492,39,13,0.0
2025-04-29,instagram,in_0119,Reels Scale Apr,ES,ios,533.41,33404,642,62,23,0.0
2025-04-30,instagram,in_0120,Brand Reach Apr,ES,ios,454.52,24195,387,43,12,0.0
2025-05-01,instagram,in_0121,Stories Prospecting May,FR,ios,512.91,29730,514,40,16,0.0
2025-05-02,instagram,in_0122,Reels Scale May,ES,android,632.97,22961,618,37,19,0.0
2025-05-03,instagram,in_0123,Brand Reach May,FR,ios,388.43,39504,817,85,21,0.0
2025-05-04,instagram,in_0124,Stories Prospecting May,PL,ios,436.33,29180,454,53,15,0.0
2025-05-05,instagram,in_0125,Reels Scale May,ES,android,677.69,39126,691,54,24,0.0
2025-05-06,instagram,in_0126,Brand Reach May,IT,android,581.15,38844,717,40,22,0.0
2025-05-07,instagram,in_0127,Stories Prospecting May,FR,android,597.13,30460,707,48,19,0.0
2025-05-08,instagram,in_0128,Reels Scale May,IE,ios,557.55,24321,519,59,14,0.0
2025-05-09,instagram,in_0129,Brand Reach May,ES,ios,505.09,24052,608,49,20,0.0
2025-05-10,instagram,in_0130,Stories Prospecting May,PL,ios,431.73,16587,442,42,15,0.0
2025-05-11,instagram,in_0131,Reels Scale May,NL,ios,473.66,35973,821,77,23,0.0
2025-05-12,instagram,in_0132,Brand Reach May,NL,ios,508.75,21343,483,54,11,0.0
2025-05-13,instagram,in_0133,Stories Prospecting May,FR,ios,560.12,38101,941,57,29,0.0
2025-05-14,instagram,in_0134,Reels Scale May,FR,ios,519.76,44268,877,69,24,0.0
2025-05-15,instagram,in_0135,Brand Reach May,ES,ios,549.33,28871,584,58,18,0.0
2025-05-16,instagram,in_0136,Stories Prospecting May,NL,ios,683.35,53455,860,68,33,0.0
2025-05-17,instagram,in_0137,Reels Scale May,DE,android,497.35,30238,706,80,25,0.0
2025-05-18,instagram,in_0138,Brand Reach May,NL,ios,369.66,20071,370,40,7,0.0
2025-05-19,instagram,in_0139,Stories Prospecting May,SE,ios,541.22,28227,617,48,15,0.0
2025-05-20,instagram,in_0140,Reels Scale May,IE,ios,705.97,21104,595,46,17,0.0
2025-05-21,instagram,in_0141,Brand Reach May,DE,android,704.35,43394,739,82,15,0.0
2025-05-22,instagram,in_0142,Stories Prospecting May,PT,android,462.11,20618,403,30,8,0.0
2025-05-23,instagram,in_0143,Reels Scale May,BE,ios,592.6,42424,762,39,21,0.0
2025-05-24,instagram,in_0144,Brand Reach May,DE,ios,457.12,26485,466,27,12,0.0
2025-05-25,instagram,in_0145,Stories Prospecting May,DE,ios,289.08,8569,198,17,5,0.0
2025-05-26,instagram,in_0146,Reels Scale May,SE,android,581.04,35024,566,66,17,0.0
2025-05-27,instagram,in_0147,Brand Reach May,FR,ios,718.85,41221,900,101,23,0.0
2025-05-28,instagram,in_0148,Stories Prospecting May,DE,android,498.97,27364,580,52,16,0.0
2025-05-29,instagram,in_0149,Reels Scale May,DE,android,532.51,25115,605,56,17,0.0
2025-05-30,instagram,in_0150,Brand Reach May,PT,android,634.5,39033,610,68,20,0.0
2025-05-31,instagram,in_0151,Stories Prospecting May,IE,android,427.04,43472,747,40,14,0.0
2025-06-01,instagram,in_0152,Reels Scale Jun,ES,ios,397.21,15176,362,36,11,0.0
2025-06-02,instagram,in_0153,Brand Reach Jun,IE,android,539.26,34604,534,55,10,0.0
2025-06-03,instagram,in_0154,Stories Prospecting Jun,PT,android,409.38,21500,460,38,10,0.0
2025-06-04,instagram,in_0155,Reels Scale Jun,IT,ios,555.53,20965,508,50,15,0.0
2025-06-05,instagram,in_0156,Brand Reach Jun,BE,ios,418.58,48979,799,63,24,0.0
2025-06-06,instagram,in_0157,Stories Prospecting Jun,PL,android,522.21,23543,416,37,12,0.0
2025-06-07,instagram,in_0158,Reels Scale Jun,PT,ios,475.58,20801,488,51,14,0.0
2025-06-08,instagram,in_0159,Brand Reach Jun,BE,ios,527.3,27656,471,24,13,0.0
2025-06-09,instagram,in_0160,Stories Prospecting Jun,PL,ios,459.69,25194,587,70,14,0.0
2025-06-10,instagram,in_0161,Reels Scale Jun,ES,android,535.92,21539,524,54,15,0.0
2025-06-11,instagram,in_0162,Brand Reach Jun,PT,ios,536.89,27001,565,62,20,0.0
2025-06-12,instagram,in_0163,Stories Prospecting Jun,PT,android,382.17,16489,339,27,6,0.0
2025-06-13,instagram,in_0164,Reels Scale Jun,ES,android,511.05,34157,706,67,19,0.0
2025-06-14,instagram,in_0165,Brand Reach Jun,SE,android,439.35,17351,326,39,8,0.0
2025-06-15,instagram,in_0166,Stories Prospecting Jun,IT,android,458.93,19583,454,45,9,0.0
2025-06-16,instagram,in_0167,Reels Scale Jun,IT,ios,667.67,23293,534,39,14,0.0
2025-06-17,instagram,in_0168,Brand Reach Jun,IT,ios,527.19,25571,531,45,15,0.0
2025-06-18,instagram,in_0169,Stories Prospecting Jun,ES,android,514.51,24450,530,43,8,0.0
2025-06-19,instagram,in_0170,Reels Scale Jun,PL,ios,512.63,31638,526,34,9,0.0
2025-06-20,instagram,in_0171,Brand Reach Jun,DE,ios,517.67,25292,453,51,13,0.0
2025-06-21,instagram,in_0172,Stories Prospecting Jun,NL,android,455.19,29243,419,50,11,0.0
2025-06-22,instagram,in_0173,Reels Scale Jun,FR,ios,522.72,34387,653,65,23,0.0
2025-06-23,instagram,in_0174,Brand Reach Jun,FR,android,439.95,22001,513,51,14,0.0
2025-06-24,instagram,in_0175,Stories Prospecting Jun,SE,android,520.69,23019,496,45,17,0.0
2025-06-25,instagram,in_0176,Reels Scale Jun,DE,ios,338.94,23439,450,39,12,0.0
2025-06-26,instagram,in_0177,Brand Reach Jun,IE,ios,392.87,19235,376,44,9,0.0
2025-06-27,instagram,in_0178,Stories Prospecting Jun,NL,ios,530.09,32399,632,46,19,0.0
2025-06-28,instagram,in_0179,Reels Scale Jun,PL,android,294.46,10935,261,14,7,0.0
2025-06-29,instagram,in_0180,Brand Reach Jun,BE,ios,445.21,24652,425,24,12,0.0
2025-06-30,instagram,in_0181,Stories Prospecting Jun,PT,ios,614.89,23898,582,38,10,0.0
2025-07-01,instagram,in_0182,Reels Scale Jul,BE,ios,453.2,22133,494,54,15,0.0
2025-07-02,instagram,in_0183,Brand Reach Jul,IT,ios,463.72,24577,401,39,11,0.0
2025-07-03,instagram,in_0184,Stories Prospecting Jul,ES,android,517.98,25221,570,42,17,0.0
2025-07-04,instagram,in_0185,Reels Scale Jul,BE,ios,478.3,17022,391,26,12,0.0
2025-07-05,instagram,in_0186,Brand Reach Jul,SE,ios,420.69,28552,559,56,21,0.0
2025-07-06,instagram,in_0187,Stories Prospecting Jul,ES,android,380.79,14282,374,32,11,0.0
2025-07-07,instagram,in_0188,Reels Scale Jul,IE,ios,582.07,35882,661,46,19,0.0
2025-07-08,instagram,in_0189,Brand Reach Jul,ES,ios,540.15,22270,438,32,15,0.0
2025-07-09,instagram,in_0190,Stories Prospecting Jul,BE,android,512.02,21573,463,52,16,0.0
2025-07-10,instagram,in_0191,Reels Scale Jul,FR,ios,348.13,14043,314,23,10,0.0
2025-07-11,instagram,in_0192,Brand Reach Jul,ES,ios,464.1,26803,544,46,15,0.0
2025-07-12,instagram,in_0193,Stories Prospecting Jul,DE,ios,426.39,18879,445,22,12,0.0
2025-07-13,instagram,in_0194,Reels Scale Jul,PL,ios,466.93,31569,600,38,15,0.0
2025-07-14,instagram,in_0195,Brand Reach Jul,SE,ios,467.63,25477,570,47,14,0.0
2025-07-15,instagram,in_0196,Stories Prospecting Jul,PL,ios,562.11,22802,465,54,15,0.0
2025-07-16,instagram,in_0197,Reels Scale Jul,FR,android,580.36,36714,767,54,20,0.0
2025-07-17,instagram,in_0198,Brand Reach Jul,FR,android,472.03,25725,460,49,15,0.0
2025-07-18,instagram,in_0199,Stories Prospecting Jul,IT,ios,571.42,24723,506,43,13,0.0
2025-07-19,instagram,in_0200,Reels Scale Jul,ES,ios,412.84,23437,381,19,13,0.0
2025-07-20,instagram,in_0201,Brand Reach Jul,ES,android,355.96,17185,283,31,8,0.0
2025-07-21,instagram,in_0202,Stories Prospecting Jul,FR,android,513.52,38171,775,74,28,0.0
2025-07-22,instagram,in_0203,Reels Scale Jul,PT,ios,614.88,23025,535,50,17,0.0
2025-07-23,instagram,in_0204,Brand Reach Jul,NL,ios,546.39,24352,431,44,13,0.0
2025-07-24,instagram,in_0205,Stories Prospecting Jul,SE,android,518.59,30024,666,36,17,0.0
2025-07-25,instagram,in_0206,Reels Scale Jul,ES,android,579.55,22143,608,51,16,0.0
2025-07-26,instagram,in_0207,Brand Reach Jul,FR,ios,467.71,22930,514,48,14,0.0
2025-07-27,instagram,in_0208,Stories Prospecting Jul,DE,ios,436.28,23355,528,60,15,0.0
2025-07-28,instagram,in_0209,Reels Scale Jul,SE,android,379.83,17170,349,36,9,0.0
2025-07-29,instagram,in_0210,Brand Reach Jul,ES,android,328.46,26876,403,34,13,0.0
2025-07-30,instagram,in_0211,Stories Prospecting Jul,BE,ios,395.2,20089,392,46,13,0.0
2025-07-31,instagram,in_0212,Reels Scale Jul,DE,ios,638.77,29130,611,41,17,0.0
2025-08-01,instagram,in_0213,Brand Reach Aug,SE,ios,566.95,48435,844,95,31,0.0
2025-08-02,instagram,in_0214,Stories Prospecting Aug,SE,android,327.35,19082,407,44,12,0.0
2025-08-03,instagram,in_0215,Reels Scale Aug,NL,ios,469.51,27884,518,28,11,0.0
2025-08-04,instagram,in_0216,Brand Reach Aug,ES,android,409.32,14671,342,21,10,0.0
2025-08-05,instagram,in_0217,Stories Prospecting Aug,SE,ios,527.36,26482,559,65,16,0.0
