date_day,ad_source,campaign_id,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions,revenue_usd
2025-01-01,tiktok,ti_0001,UGC Launch Jan,ES,android,695.49,30669,850,101,22,0.0
2025-01-02,tiktok,ti_0002,Creator Push Jan,BE,android,559.25,28411,565,54,19,0.0
2025-01-03,tiktok,ti_0003,Video Prospecting Jan,DE,android,848.05,48582,1144,62,37,0.0
2025-01-04,tiktok,ti_0004,UGC Launch Jan,DE,ios,708.06,34230,831,84,23,0.0
2025-01-05,tiktok,ti_0005,Creator Push Jan,NL,ios,613.44,23810,644,53,15,0.0
2025-01-06,tiktok,ti_0006,Video Prospecting Jan,ES,android,822.21,39447,852,92,27,0.0
2025-01-07,tiktok,ti_0007,UGC Launch Jan,NL,android,969.25,33770,862,96,26,0.0
2025-01-08,tiktok,ti_0008,Creator Push Jan,FR,android,898.14,33694,839,73,33,0.0
2025-01-09,tiktok,ti_0009,Video Prospecting Jan,DE,ios,859.47,38146,1126,109,36,0.0
2025-01-10,tiktok,ti_0010,UGC Launch Jan,DE,android,857.29,76156,1033,98,26,0.0
2025-01-11,tiktok,ti_0011,Creator Push Jan,DE,ios,563.71,21753,529,40,14,0.0
2025-01-12,tiktok,ti_0012,Video Prospecting Jan,FR,android,727.78,24491,621,72,19,0.0
2025-01-13,tiktok,ti_0013,UGC Launch Jan,DE,ios,601.53,21799,582,31,22,0.0
2025-01-14,tiktok,ti_0014,Creator Push Jan,IT,android,745.64,35676,855,46,21,0.0
2025-01-15,tiktok,ti_0015,Video Prospecting Jan,NL,android,734.13,35822,741,68,24,0.0
2025-01-16,tiktok,ti_0016,UGC Launch Jan,DE,android,592.76,19155,511,42,20,0.0
2025-01-17,tiktok,ti_0017,Creator Push Jan,PL,ios,769.92,25280,644,47,14,0.0
2025-01-18,tiktok,ti_0018,Video Prospecting Jan,SE,android,788.78,45068,930,103,37,0.0
2025-01-19,tiktok,ti_0019,UGC Launch Jan,DE,ios,610.71,42413,787,78,22,0.0
2025-01-20,tiktok,ti_0020,Creator Push Jan,PT,ios,649.79,25771,676,77,21,0.0
2025-01-21,tiktok,ti_0021,Video Prospecting Jan,PL,android,772.03,44714,918,105,26,0.0
2025-01-22,tiktok,ti_0022,UGC Launch Jan,PT,ios,875.49,34587,920,96,31,0.0
2025-01-23,tiktok,ti_0023,Creator Push Jan,IT,ios,803.15,33696,1013,65,35,0.0
2025-01-24,tiktok,ti_0024,Video Prospecting Jan,FR,android,781.71,31179,774,66,27,0.0
2025-01-25,tiktok,ti_0025,UGC Launch Jan,FR,android,514.73,19787,493,48,24,0.0
2025-01-26,tiktok,ti_0026,Creator Push Jan,SE,ios,686.22,23019,564,59,9,0.0
2025-01-27,tiktok,ti_0027,Video Prospecting Jan,DE,android,835.18,23964,708,58,20,0.0
2025-01-28,tiktok,ti_0028,UGC Launch Jan,FR,android,928.84,31575,935,54,22,0.0
2025-01-29,tiktok,ti_0029,Creator Push Jan,IT,android,945.02,49020,1193,70,36,0.0
2025-01-30,tiktok,ti_0030,Video Prospecting Jan,PL,android,857.39,28736,775,65,21,0.0
2025-01-31,tiktok,ti_0031,UGC Launch Jan,NL,ios,602.19,29818,721,81,22,0.0
2025-02-01,tiktok,ti_0032,Creator Push Feb,DE,android,512.38,33527,738,84,23,0.0
2025-02-02,tiktok,ti_0033,Video Prospecting Feb,FR,android,542.67,22384,606,53,17,0.0
2025-02-03,tiktok,ti_0034,UGC Launch Feb,NL,ios,814.29,48805,1154,106,43,0.0
2025-02-04,tiktok,ti_0035,Creator Push Feb,DE,android,695.81,26359,543,60,12,0.0
2025-02-05,tiktok,ti_0036,Video Prospecting Feb,BE,android,925.37,45202,814,73,23,0.0
2025-02-06,tiktok,ti_0037,UGC Launch Feb,NL,android,808.7,24420,683,62,22,0.0
2025-02-07,tiktok,ti_0038,Creator Push Feb,PL,android,821.93,47557,958,54,38,0.0
2025-02-08,tiktok,ti_0039,Video Prospecting Feb,DE,ios,708.62,39728,777,67,18,0.0
2025-02-09,tiktok,ti_0040,UGC Launch Feb,FR,android,671.79,30202,693,76,17,0.0
2025-02-10,tiktok,ti_0041,Creator Push Feb,IE,ios,627.57,27116,731,63,26,0.0
2025-02-11,tiktok,ti_0042,Video Prospecting Feb,IT,android,1050.44,65592,1121,74,36,0.0
2025-02-12,tiktok,ti_0043,UGC Launch Feb,IE,ios,942.17,35220,935,52,21,0.0
2025-02-13,tiktok,ti_0044,Creator Push Feb,ES,ios,948.75,46154,1180,129,46,0.0
2025-02-14,tiktok,ti_0045,Video Prospecting Feb,DE,ios,700.17,39663,759,50,25,0.0
2025-02-15,tiktok,ti_0046,UGC Launch Feb,NL,android,475.38,21087,410,47,12,0.0
2025-02-16,tiktok,ti_0047,Creator Push Feb,BE,android,505.98,22616,527,30,16,0.0
