date_day,ad_source,campaign_id,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions,revenue_usd
2025-01-01,twitter,tw_0001,Brand Pulse Jan,SE,android,299.15,17988,412,32,13,0.0
2025-01-02,twitter,tw_0002,Awareness Burst Jan,DE,android,371.48,25473,477,52,10,0.0
2025-01-03,twitter,tw_0003,Retention Wave Jan,SE,android,396.03,28691,408,32,13,0.0
2025-01-04,twitter,tw_0004,Brand Pulse Jan,PL,android,315.03,24264,387,34,9,0.0
2025-01-05,twitter,tw_0005,Awareness Burst Jan,IE,ios,253.34,26049,382,20,11,0.0
2025-01-06,twitter,tw_0006,Retention Wave Jan,FR,ios,410.53,34280,490,55,11,0.0
2025-01-07,twitter,tw_0007,Brand Pulse Jan,ES,ios,392.06,17518,417,34,9,0.0
2025-01-08,twitter,tw_0008,Awareness Burst Jan,SE,android,392.23,23117,421,44,10,0.0
2025-01-09,twitter,tw_0009,Retention Wave Jan,FR,ios,394.24,23470,407,48,6,0.0
2025-01-10,twitter,tw_0010,Brand Pulse Jan,BE,ios,412.2,22175,450,39,13,0.0
2025-01-11,twitter,tw_0011,Awareness Burst Jan,ES,ios,384.67,20083,394,31,6,0.0
2025-01-12,twitter,tw_0012,Retention Wave Jan,FR,ios,267.68,18680,295,31,8,0.0
2025-01-13,twitter,tw_0013,Brand Pulse Jan,DE,android,359.36,30205,448,49,9,0.0
2025-01-14,twitter,tw_0014,Awareness Burst Jan,SE,ios,444.68,52969,631,41,18,0.0
2025-01-15,twitter,tw_0015,Retention Wave Jan,FR,android,290.13,15079,311,29,10,0.0
2025-01-16,twitter,tw_0016,Brand Pulse Jan,FR,ios,373.27,21112,360,25,9,0.0
2025-01-17,twitter,tw_0017,Awareness Burst Jan,FR,ios,322.56,18853,387,24,9,0.0
2025-01-18,twitter,tw_0018,Retention Wave Jan,SE,android,291.93,19416,347,39,10,0.0
2025-01-19,twitter,tw_0019,Brand Pulse Jan,FR,ios,312.2,21002,287,30,8,0.0
2025-01-20,twitter,tw_0020,Awareness Burst Jan,ES,android,260.48,13113,209,21,6,0.0
2025-01-21,twitter,tw_0021,Retention Wave Jan,IT,android,307.4,11472,256,28,6,0.0
2025-01-22,twitter,tw_0022,Brand Pulse Jan,ES,android,286.75,21310,340,40,11,0.0
2025-01-23,twitter,tw_0023,Awareness Burst Jan,ES,ios,345.45,22010,425,37,9,0.0
2025-01-24,twitter,tw_0024,Retention Wave Jan,DE,android,322.57,33898,361,42,9,0.0
2025-01-25,twitter,tw_0025,Brand Pulse Jan,DE,android,354.83,23669,365,28,14,0.0
2025-01-26,twitter,tw_0026,Awareness Burst Jan,FR,android,268.02,12919,268,32,7,0.0
2025-01-27,twitter,tw_0027,Retention Wave Jan,FR,android,442.65,59472,720,71,21,0.0
2025-01-28,twitter,tw_0028,Brand Pulse Jan,ES,ios,336.7,13668,288,18,8,0.0
2025-01-29,twitter,tw_0029,Awareness Burst Jan,ES,ios,370.57,20639,338,20,9,0.0
2025-01-30,twitter,tw_0030,Retention Wave Jan,IE,android,358.99,25922,416,36,15,0.0
2025-01-31,twitter,tw_0031,Brand Pulse Jan,IT,ios,357.58,15502,345,22,9,0.0
