ad_source,platform,country,new_customers,total_spend_usd,cac_usd,first_purchase_date,last_purchase_date
affiliate,android,AT,21,90805.36,4324.06,2025-11-12,2025-11-25
affiliate,android,BE,20,127709.2,6385.46,2025-11-12,2025-11-23
affiliate,android,BG,22,110013.58,5000.62,2025-11-12,2025-11-24
affiliate,android,CY,23,148742.23,6467.05,2025-11-12,2025-11-25
affiliate,android,CZ,19,97045.49,5107.66,2025-11-12,2025-11-25
affiliate,android,DE,16,125904.69,7869.04,2025-11-12,2025-11-24
affiliate,android,DK,16,101963.74,6372.73,2025-11-12,2025-11-23
affiliate,android,EE,12,142853.67,11904.47,2025-11-13,2025-11-22
affiliate,android,ES,18,99229.51,5512.75,2025-11-13,2025-11-23
affiliate,android,FI,15,91254.32,6083.62,2025-11-12,2025-11-24
affiliate,android,FR,20,105132.43,5256.62,2025-11-12,2025-11-20
affiliate,android,GR,16,124193.43,7762.09,2025-11-13,2025-11-24
affiliate,android,HR,20,108404.58,5420.23,2025-11-12,2025-11-24
affiliate,android,HU,18,97041.96,5391.22,2025-11-12,2025-11-23
affiliate,android,IE,21,98784.16,4704.01,2025-11-12,2025-11-25
affiliate,android,IT,10,99187.38,9918.74,2025-11-12,2025-11-23
affiliate,android,LT,16,112461.61,7028.85,2025-11-12,2025-11-21
affiliate,android,LU,18,104297.63,5794.31,2025-11-12,2025-11-25
affiliate,android,LV,20,105214.1,5260.7,2025-11-12,2025-11-25
affiliate,android,MT,15,108953.12,7263.54,2025-11-13,2025-11-25
affiliate,android,NL,13,109431.05,8417.77,2025-11-12,2025-11-25
affiliate,android,PL,20,112104.65,5605.23,2025-11-12,2025-11-25
affiliate,android,PT,17,112567.12,6621.6,2025-11-12,2025-11-24
affiliate,android,RO,9,99425.33,11047.26,2025-11-12,2025-11-21
affiliate,android,SE,18,113025.76,6279.21,2025-11-12,2025-11-25
affiliate,android,SI,11,95492.08,8681.1,2025-11-13,2025-11-24
affiliate,android,SK,16,90264.09,5641.51,2025-11-12,2025-11-25
affiliate,ios,AT,21,120776.97,5751.28,2025-11-12,2025-11-25
affiliate,ios,BE,14,99070.54,7076.47,2025-11-13,2025-11-25
affiliate,ios,BG,14,112168.85,8012.06,2025-11-12,2025-11-23
affiliate,ios,CY,19,104293.81,5489.15,2025-11-12,2025-11-25
affiliate,ios,CZ,16,120284.66,7517.79,2025-11-12,2025-11-24
affiliate,ios,DE,8,95961.64,11995.2,2025-11-12,2025-11-19
affiliate,ios,DK,16,108095.6,6755.98,2025-11-12,2025-11-25
affiliate,ios,EE,18,111791.03,6210.61,2025-11-12,2025-11-24
affiliate,ios,ES,11,99001.45,9000.13,2025-11-12,2025-11-25
affiliate,ios,FI,27,104371.06,3865.59,2025-11-12,2025-11-25
affiliate,ios,FR,22,110929.3,5042.24,2025-11-13,2025-11-24
affiliate,ios,GR,20,131497.31,6574.87,2025-11-12,2025-11-25
affiliate,ios,HR,13,125662.92,9666.38,2025-11-12,2025-11-25
affiliate,ios,HU,14,99066.34,7076.17,2025-11-12,2025-11-25
affiliate,ios,IE,19,135329.26,7122.59,2025-11-12,2025-11-23
affiliate,ios,IT,17,100366.95,5903.94,2025-11-12,2025-11-25
affiliate,ios,LT,14,110581.97,7898.71,2025-11-12,2025-11-22
affiliate,ios,LU,14,101958.89,7282.78,2025-11-12,2025-11-25
affiliate,ios,LV,16,108519.95,6782.5,2025-11-12,2025-11-25
