user_id,ad_source,campaign,campaign_id,platform,country,total_revenue,purchase_count,first_purchase_date,last_purchase_date,ltv_usd
100001,facebook,unknown,FA79655,ios,SK,65.0,1,2025-02-02,2025-02-02,65.0
100002,instagram,unknown,IN87272,android,EE,85.0,1,2025-06-08,2025-06-08,85.0
100003,affiliate,unknown,AF18475,ios,HR,340.0,1,2025-03-15,2025-03-15,340.0
100004,twitter,unknown,TW78501,ios,IE,200.0,1,2025-09-26,2025-09-26,200.0
100005,facebook,unknown,FA21530,ios,BG,60.0,1,2025-07-07,2025-07-07,60.0
100006,instagram,unknown,IN43371,ios,LT,105.0,1,2025-07-02,2025-07-02,105.0
100007,twitter,unknown,TW67947,ios,DK,230.0,1,2025-10-13,2025-10-13,230.0
100008,instagram,unknown,IN49906,android,IT,45.0,1,2025-07-19,2025-07-19,45.0
100009,facebook,unknown,FA59912,android,SI,20.0,1,2025-02-03,2025-02-03,20.0
100010,affiliate,unknown,AF84485,ios,IE,360.0,1,2025-11-10,2025-11-10,360.0
100011,google,unknown,GO78227,android,CY,75.0,1,2025-03-02,2025-03-02,75.0
100012,google,unknown,GO97361,ios,HR,150.0,1,2025-01-25,2025-01-25,150.0
100013,tiktok,unknown,TI80053,ios,HR,25.0,1,2025-09-05,2025-09-05,25.0
100014,google,unknown,GO52004,android,NL,35.0,1,2025-05-13,2025-05-13,35.0
100015,facebook,unknown,FA23885,android,SK,95.0,1,2025-07-19,2025-07-19,95.0
100016,twitter,unknown,TW77027,android,HR,150.0,1,2025-12-03,2025-12-03,150.0
100017,facebook,unknown,FA39323,android,LU,105.0,1,2025-05-30,2025-05-30,105.0
100018,affiliate,unknown,AF52259,android,NL,120.0,1,2025-01-28,2025-01-28,120.0
100019,twitter,unknown,TW21692,android,DK,145.0,1,2025-06-18,2025-06-18,145.0
100020,facebook,unknown,FA30421,ios,PT,105.0,1,2025-05-01,2025-05-01,105.0
100021,google,unknown,GO49343,ios,BG,130.0,1,2025-12-10,2025-12-10,130.0
100022,facebook,unknown,FA73023,ios,HU,50.0,1,2025-08-18,2025-08-18,50.0
100023,tiktok,unknown,TI84902,android,PL,95.0,1,2025-10-08,2025-10-08,95.0
100024,instagram,unknown,IN44872,android,GR,45.0,1,2025-11-04,2025-11-04,45.0
100025,instagram,unknown,IN71423,android,PT,25.0,1,2025-03-29,2025-03-29,25.0
100026,affiliate,unknown,AF27991,android,PT,20.0,1,2025-10-31,2025-10-31,20.0
100027,twitter,unknown,TW80822,ios,PL,125.0,1,2025-10-18,2025-10-18,125.0
100028,twitter,unknown,TW73464,ios,SK,130.0,1,2025-06-22,2025-06-22,130.0
100029,instagram,unknown,IN51301,ios,IT,90.0,1,2025-07-22,2025-07-22,90.0
100030,google,unknown,GO22581,android,PL,35.0,1,2025-01-14,2025-01-14,35.0
100031,affiliate,unknown,AF70155,ios,DE,295.0,1,2025-06-10,2025-06-10,295.0
100032,instagram,unknown,IN60870,ios,SE,155.0,1,2025-11-09,2025-11-09,155.0
100033,google,unknown,GO67124,ios,HU,100.0,1,2025-07-29,2025-07-29,100.0
100034,facebook,unknown,FA60328,android,DK,80.0,1,2025-02-03,2025-02-03,80.0
100035,instagram,unknown,IN12773,android,PL,65.0,1,2025-08-09,2025-08-09,65.0
100036,tiktok,unknown,TI29312,android,PL,50.0,1,2025-12-25,2025-12-25,50.0
100037,instagram,unknown,IN86805,android,FI,55.0,1,2025-12-29,2025-12-29,55.0
100038,instagram,unknown,IN15247,ios,SK,40.0,1,2025-10-27,2025-10-27,40.0
100039,affiliate,unknown,AF36423,android,MT,295.0,1,2025-12-01,2025-12-01,295.0
100040,twitter,unknown,TW60132,android,HU,125.0,1,2025-02-16,2025-02-16,125.0
100041,instagram,unknown,IN69787,android,CY,55.0,1,2025-12-30,2025-12-30,55.0
100042,facebook,unknown,FA83261,android,SI,35.0,1,2025-06-02,2025-06-02,35.0
100043,facebook,unknown,FA12044,ios,CY,25.0,1,2025-05-03,2025-05-03,25.0
100044,affiliate,unknown,AF75011,ios,IE,270.0,1,2025-10-09,2025-10-09,270.0
100045,tiktok,unknown,TI24514,ios,HU,55.0,1,2025-09-19,2025-09-19,55.0
100046,twitter,unknown,TW23707,android,FI,185.0,1,2025-12-09,2025-12-09,185.0
100047,affiliate,unknown,AF50153,ios,SK,150.0,1,2025-06-30,2025-06-30,150.0
100048,affiliate,unknown,AF37135,ios,LU,435.0,1,2025-03-29,2025-03-29,435.0
100049,affiliate,unknown,AF42562,android,DE,75.0,1,2025-08-10,2025-08-10,75.0
100050,google,unknown,GO20620,ios,IE,260.0,1,2025-05-06,2025-05-06,260.0
100051,tiktok,unknown,TI91771,ios,AT,100.0,1,2025-05-14,2025-05-14,100.0
100052,twitter,unknown,TW33928,android,SI,170.0,1,2025-06-16,2025-06-16,170.0
100053,twitter,unknown,TW80086,ios,HR,115.0,1,2025-04-07,2025-04-07,115.0
100054,affiliate,unknown,AF50442,android,LT,110.0,1,2025-10-15,2025-10-15,110.0
100055,instagram,unknown,IN18675,ios,GR,115.0,1,2025-01-29,2025-01-29,115.0
100056,twitter,unknown,TW51019,ios,SI,45.0,1,2025-02-16,2025-02-16,45.0
100057,twitter,unknown,TW37535,ios,DE,160.0,1,2025-09-21,2025-09-21,160.0
100058,facebook,unknown,FA25909,android,HR,110.0,1,2025-07-19,2025-07-19,110.0
100059,google,unknown,GO78265,android,EE,135.0,1,2025-01-08,2025-01-08,135.0
100060,instagram,unknown,IN48887,ios,MT,90.0,1,2025-08-31,2025-08-31,90.0
100061,facebook,unknown,FA62568,ios,SK,90.0,1,2025-02-21,2025-02-21,90.0
100062,facebook,unknown,FA17599,android,SI,65.0,1,2025-08-18,2025-08-18,65.0
100063,instagram,unknown,IN13745,ios,PT,70.0,1,2025-10-15,2025-10-15,70.0
100064,twitter,unknown,TW39687,android,CZ,35.0,1,2025-03-10,2025-03-10,35.0
100065,twitter,unknown,TW19306,android,NL,150.0,1,2025-09-05,2025-09-05,150.0
100066,instagram,unknown,IN25353,android,LU,200.0,1,2025-10-17,2025-10-17,200.0
100067,affiliate,unknown,AF62294,ios,FR,215.0,1,2025-12-28,2025-12-28,215.0
100068,affiliate,unknown,AF63181,android,PL,25.0,1,2025-08-12,2025-08-12,25.0
100069,tiktok,unknown,TI96269,android,LT,50.0,1,2025-02-25,2025-02-25,50.0
100070,facebook,unknown,FA80445,android,EE,20.0,1,2025-06-20,2025-06-20,20.0
100071,facebook,unknown,FA53798,ios,DE,115.0,1,2025-04-11,2025-04-11,115.0
100072,twitter,unknown,TW94403,ios,LU,180.0,1,2025-06-11,2025-06-11,180.0
100073,twitter,unknown,TW52613,ios,EE,55.0,1,2025-07-17,2025-07-17,55.0
100074,facebook,unknown,FA39840,ios,RO,70.0,1,2025-12-15,2025-12-15,70.0
100075,instagram,unknown,IN49501,ios,BG,10.0,1,2025-11-07,2025-11-07,10.0
100076,google,unknown,GO84365,ios,BG,140.0,1,2025-05-13,2025-05-13,140.0
100077,google,unknown,GO22622,ios,PT,120.0,1,2025-07-18,2025-07-18,120.0
100078,instagram,unknown,IN19771,android,LU,150.0,1,2025-04-26,2025-04-26,150.0
100079,affiliate,unknown,AF35310,ios,MT,295.0,1,2025-02-13,2025-02-13,295.0
100080,instagram,unknown,IN75428,android,ES,125.0,1,2025-09-24,2025-09-24,125.0
100081,tiktok,unknown,TI19696,android,DK,160.0,1,2025-04-28,2025-04-28,160.0
100082,facebook,unknown,FA30719,ios,PT,20.0,1,2025-12-22,2025-12-22,20.0
100083,google,unknown,GO59936,android,IE,115.0,1,2025-02-21,2025-02-21,115.0
100084,tiktok,unknown,TI84680,android,SK,85.0,1,2025-04-24,2025-04-24,85.0
100085,affiliate,unknown,AF38542,ios,PL,390.0,1,2025-12-18,2025-12-18,390.0
100086,facebook,unknown,FA36182,ios,HU,70.0,1,2025-08-20,2025-08-20,70.0
100087,facebook,unknown,FA33036,android,EE,125.0,1,2025-11-27,2025-11-27,125.0
100088,instagram,unknown,IN24814,ios,LU,25.0,1,2025-03-07,2025-03-07,25.0
100089,instagram,unknown,IN49158,android,IE,180.0,1,2025-04-20,2025-04-20,180.0
100090,google,unknown,GO90250,ios,IT,175.0,1,2025-02-25,2025-02-25,175.0
100091,facebook,unknown,FA90170,ios,IT,155.0,1,2025-11-05,2025-11-05,155.0
100092,facebook,unknown,FA56696,ios,PL,55.0,1,2025-02-12,2025-02-12,55.0
100093,facebook,unknown,FA79480,ios,SI,100.0,1,2025-01-09,2025-01-09,100.0
100094,instagram,unknown,IN43628,ios,IE,30.0,1,2025-05-30,2025-05-30,30.0
100095,tiktok,unknown,TI77210,android,DK,55.0,1,2025-09-26,2025-09-26,55.0
100096,facebook,unknown,FA94312,android,CZ,45.0,1,2025-01-02,2025-01-02,45.0
100097,facebook,unknown,FA21048,android,HU,110.0,1,2025-01-12,2025-01-12,110.0
100098,tiktok,unknown,TI23795,android,FR,40.0,1,2025-11-22,2025-11-22,40.0
100099,affiliate,unknown,AF63943,android,SK,325.0,1,2025-05-15,2025-05-15,325.0
100100,instagram,unknown,IN27678,android,DK,70.0,1,2025-01-17,2025-01-17,70.0
100101,instagram,unknown,IN79965,android,BE,165.0,1,2025-12-31,2025-12-31,165.0
100102,affiliate,unknown,AF55066,ios,DE,105.0,1,2025-07-02,2025-07-02,105.0
100103,facebook,unknown,FA11254,ios,MT,45.0,1,2025-12-08,2025-12-08,45.0
100104,twitter,unknown,TW21863,android,LT,110.0,1,2025-04-12,2025-04-12,110.0
100105,facebook,unknown,FA20964,ios,LT,70.0,1,2025-12-20,2025-12-20,70.0
100106,instagram,unknown,IN72482,ios,BG,65.0,1,2025-12-05,2025-12-05,65.0
100107,affiliate,unknown,AF27979,ios,EE,305.0,1,2025-06-02,2025-06-02,305.0
100108,facebook,unknown,FA74385,android,MT,120.0,1,2025-01-10,2025-01-10,120.0
100109,twitter,unknown,TW21795,ios,NL,45.0,1,2025-10-29,2025-10-29,45.0
100110,twitter,unknown,TW93479,ios,BG,65.0,1,2025-07-27,2025-07-27,65.0
100111,affiliate,unknown,AF37085,android,MT,225.0,1,2025-12-22,2025-12-22,225.0
100112,google,unknown,GO69657,android,DK,290.0,1,2025-07-05,2025-07-05,290.0
100113,instagram,unknown,IN35779,android,FI,175.0,1,2025-07-10,2025-07-10,175.0
100114,instagram,unknown,IN12237,android,PT,80.0,1,2025-07-02,2025-07-02,80.0
