user_id,purchase_date,platform,ad_source,purchase_amount,country
u_10001,2025-01-01,android,instagram,6.99,PL
u_10002,2025-01-01,ios,twitter,54.63,SE
u_10003,2025-01-01,ios,instagram,51.36,FR
u_10004,2025-01-01,android,tiktok,29.81,DE
u_10005,2025-01-01,ios,facebook,11.74,FR
u_10006,2025-01-01,android,facebook,74.64,PL
u_10007,2025-01-01,ios,facebook,53.53,IT
u_10008,2025-01-01,android,google_ads,45.73,IE
u_10009,2025-01-01,android,facebook,51.84,IE
u_10010,2025-01-01,android,google_ads,52.21,DE
u_10004,2025-01-02,android,tiktok,29.39,DE
u_10009,2025-01-02,android,facebook,19.69,IE
u_10004,2025-01-02,android,tiktok,39.86,DE
u_10005,2025-01-02,ios,facebook,9.22,FR
u_10002,2025-01-02,ios,twitter,84.33,SE
u_10006,2025-01-02,android,facebook,78.56,PL
u_10010,2025-01-02,android,google_ads,63.22,DE
u_10005,2025-01-02,ios,facebook,13.42,FR
u_10011,2025-01-02,android,google_ads,20.65,SE
u_10012,2025-01-02,android,google_ads,37.33,DE
u_10013,2025-01-02,ios,instagram,32.07,NL
u_10014,2025-01-02,android,tiktok,34.35,PL
u_10015,2025-01-02,ios,twitter,35.86,ES
u_10016,2025-01-02,ios,google_ads,61.8,SE
u_10017,2025-01-02,android,tiktok,53.87,NL
u_10018,2025-01-02,android,facebook,62.38,ES
u_10019,2025-01-02,android,instagram,64.21,FR
u_10020,2025-01-02,android,twitter,53.32,DE
u_10021,2025-01-02,ios,google_ads,33.09,PL
u_10022,2025-01-02,ios,tiktok,74.88,ES
u_10023,2025-01-02,android,google_ads,37.83,IT
u_10024,2025-01-02,android,facebook,45.53,NL
u_10025,2025-01-02,ios,instagram,60.9,IE
u_10026,2025-01-02,android,instagram,39.81,DE
u_10009,2025-01-03,android,facebook,57.98,IE
u_10007,2025-01-03,ios,facebook,74.46,IT
u_10019,2025-01-03,android,instagram,80.14,FR
u_10015,2025-01-03,ios,twitter,30.86,ES
u_10003,2025-01-03,ios,instagram,54.76,FR
u_10002,2025-01-03,ios,twitter,75.14,SE
u_10020,2025-01-03,android,twitter,37.31,DE
u_10007,2025-01-03,ios,facebook,38.01,IT
u_10027,2025-01-03,ios,tiktok,55.91,DE
u_10028,2025-01-03,ios,facebook,21.48,SE
u_10029,2025-01-03,ios,facebook,63.21,PT
u_10030,2025-01-03,ios,instagram,25.85,PT
u_10031,2025-01-03,android,google_ads,58.25,FR
u_10032,2025-01-03,android,google_ads,54.03,BE
u_10033,2025-01-03,android,instagram,6.99,DE
u_10034,2025-01-03,ios,instagram,46.65,NL
u_10035,2025-01-03,ios,twitter,23.11,SE
u_10036,2025-01-03,ios,google_ads,15.12,DE
u_10037,2025-01-03,ios,google_ads,23.91,PT
u_10038,2025-01-03,ios,instagram,48.3,DE
u_10039,2025-01-03,android,tiktok,35.04,NL
u_10040,2025-01-03,android,facebook,52.22,ES
u_10041,2025-01-03,android,google_ads,47.75,SE
u_10042,2025-01-03,ios,tiktok,16.46,NL
u_10043,2025-01-03,android,tiktok,43.43,ES
u_10044,2025-01-03,ios,twitter,54.97,FR
u_10005,2025-01-04,ios,facebook,9.0,FR
u_10037,2025-01-04,ios,google_ads,20.88,PT
u_10025,2025-01-04,ios,instagram,53.25,IE
u_10044,2025-01-04,ios,twitter,54.83,FR
u_10006,2025-01-04,android,facebook,65.86,PL
u_10027,2025-01-04,ios,tiktok,24.82,DE
u_10045,2025-01-04,ios,tiktok,18.99,SE
u_10046,2025-01-04,android,google_ads,63.19,FR
u_10047,2025-01-04,ios,tiktok,31.33,BE
u_10048,2025-01-04,ios,google_ads,52.16,IT
u_10049,2025-01-04,ios,instagram,23.18,SE
u_10050,2025-01-04,android,tiktok,37.99,IE
u_10051,2025-01-04,ios,instagram,58.59,PT
u_10052,2025-01-04,ios,google_ads,71.76,FR
u_10053,2025-01-04,ios,instagram,15.06,PL
u_10054,2025-01-04,ios,google_ads,44.83,DE
u_10055,2025-01-04,android,tiktok,6.99,DE
u_10056,2025-01-04,android,facebook,40.41,DE
u_10057,2025-01-04,android,facebook,56.95,SE
u_10058,2025-01-04,android,twitter,41.16,IE
u_10008,2025-01-05,android,google_ads,41.1,IE
u_10028,2025-01-05,ios,facebook,14.25,SE
u_10006,2025-01-05,android,facebook,84.21,PL
u_10030,2025-01-05,ios,instagram,29.23,PT
u_10029,2025-01-05,ios,facebook,58.94,PT
u_10059,2025-01-05,ios,tiktok,56.11,DE
u_10060,2025-01-05,ios,twitter,45.36,PT
u_10061,2025-01-05,android,instagram,51.99,SE
u_10062,2025-01-05,ios,google_ads,40.82,DE
u_10063,2025-01-05,android,facebook,35.13,ES
u_10064,2025-01-05,android,tiktok,12.4,DE
u_10065,2025-01-05,ios,instagram,49.69,DE
u_10066,2025-01-05,android,instagram,57.09,ES
u_10067,2025-01-05,ios,google_ads,48.43,SE
u_10068,2025-01-05,ios,tiktok,15.35,PL
u_10069,2025-01-05,android,google_ads,27.21,NL
u_10070,2025-01-05,ios,google_ads,27.36,SE
u_10066,2025-01-06,android,instagram,80.1,ES
u_10014,2025-01-06,android,tiktok,41.69,PL
u_10021,2025-01-06,ios,google_ads,41.13,PL
u_10037,2025-01-06,ios,google_ads,20.09,PT
