date_day,ad_source,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions
2025-12-15,affiliate,aff_winter,AT,android,106.79,"11,591",84,5,1
2025-05-11,instagram,ig_retargeting,CY,ios,388.93,"16,306",575,165,8
2025-11-10,affiliate,aff_winter,MT,android,20.77,"2,205",54,4,0
2025-02-24,facebook,fb_app_install,BG,ios,84.57,"11,381",105,27,3
2025-03-30,instagram,ig_app_install,LU,ios,48.53,"2,925",53,8,2
2025-02-04,affiliate,aff_autumn,EE,android,62.93,"13,999",110,16,2
2025-11-06,twitter,x_awareness,ES,ios,76.1,"9,657",78,7,0
2025-08-25,instagram,ig_story_launch,DE,android,130.59,"12,748",389,114,22
2025-01-15,instagram,ig_retargeting,SI,android,124.55,"6,337",244,59,13
2025-08-19,facebook,fb_app_install,HU,ios,161.68,"11,420",353,79,6
2025-08-04,google,google_pmax_2025,NL,android,353.85,"12,398",541,56,14
2025-12-25,facebook,fb_brand_awareness,LU,ios,102.54,"15,324",299,38,3
2025-04-06,tiktok,tt_app_installs,LU,android,72.95,"7,916",352,53,3
2025-03-07,affiliate,aff_summer,MT,ios,43.47,"10,255",177,29,4
2025-11-27,affiliate,aff_winter,BE,ios,13.04,"6,257",81,13,2
2025-05-17,google,google_search_brand,EE,ios,125.82,"7,522",196,29,9
2025-06-29,tiktok,tt_spark_ads,IT,android,191,"8,698",365,94,7
2025-01-02,instagram,ig_reels_push,GR,ios,155.14,"8,651",97,16,3
2025-06-21,affiliate,aff_summer,RO,ios,135.64,"14,126",273,27,3
2025-08-28,twitter,x_web_conversions,LU,ios,143.51,"12,097",166,15,1
2025-12-12,instagram,ig_story_launch,HU,android,142.19,"6,798",292,52,9
2025-05-31,affiliate,aff_spring,PT,android,115.94,"13,875",248,39,4
2025-10-31,facebook,fb_retargeting,SE,ios,331.93,"13,363",208,58,15
2025-04-26,google,google_youtube_video,FI,ios,169.31,"9,379",556,119,25
2025-04-09,instagram,ig_reels_push,DK,android,206.35,"18,453",329,80,8
2025-05-15,tiktok,tt_creator_push,CY,android,91.71,"10,779",381,81,14
2025-08-18,instagram,ig_retargeting,SK,android,276.2,"12,895",287,66,13
2025-10-31,affiliate,aff_autumn,MT,android,66.02,"8,642",174,10,2
