user_id,purchase_date,platform,ad_source,campaign_id,purchase_amount,country
100001,2025-11-18,ios,instagram,AF59348,60.00,AT
100002,2025-11-16,android,twitter,GO46971,130.00,PT
100003,2025-11-23,ios,affiliate,TI65060,240.00,DK
100004,2025-11-18,android,affiliate,TI65438,150.00,FR
100005,2025-11-18,android,affiliate,IN79367,90.00,LU
100006,2025-11-25,ios,twitter,TW57269,260.00,NL
100007,2025-11-14,android,facebook,IN78242,130.00,ES
100008,2025-11-20,android,facebook,TW76125,280.00,SI
100009,2025-11-15,android,facebook,TW49444,280.00,IT
100010,2025-11-20,ios,tiktok,FA35627,310.00,DK
100011,2025-11-16,ios,tiktok,FA25118,310.00,LV
100012,2025-11-15,android,facebook,TW37561,140.00,EE
100013,2025-11-19,ios,facebook,GO47333,190.00,LT
100014,2025-11-16,ios,facebook,AF15879,240.00,PL
100015,2025-11-25,android,instagram,FA01985,130.00,SK
100016,2025-11-12,android,instagram,TI65862,240.00,EE
100017,2025-11-13,android,instagram,AF64469,320.00,DK
100018,2025-11-25,android,affiliate,IN10179,390.00,CY
100019,2025-11-24,android,affiliate,FA84420,370.00,HR
100020,2025-11-21,android,affiliate,GO04663,360.00,HR
100021,2025-11-14,ios,google,GO44649,390.00,IE
100022,2025-11-25,ios,google,IN94255,250.00,FR
100023,2025-11-13,ios,google,GO48559,380.00,BE
100024,2025-11-21,android,affiliate,TI98256,360.00,ES
100025,2025-11-25,ios,affiliate,GO31176,160.00,SE
100026,2025-11-21,ios,affiliate,IN09156,380.00,BE
100027,2025-11-22,ios,tiktok,FA93404,390.00,BE
100028,2025-11-14,ios,tiktok,TW16109,80.00,LT
100029,2025-11-23,android,instagram,TW88884,250.00,DE
100030,2025-11-20,android,instagram,AF86063,130.00,SE
100031,2025-11-18,android,instagram,AF44062,220.00,BE
100032,2025-11-13,android,instagram,TW53322,70.00,CZ
100033,2025-11-24,android,instagram,AF59956,330.00,GR
100034,2025-11-17,android,instagram,IN43872,370.00,CY
100035,2025-11-17,ios,instagram,IN03388,140.00,HR
100036,2025-11-22,ios,instagram,TI13880,80.00,BE
100037,2025-11-14,ios,instagram,AF44491,230.00,IE
100038,2025-11-17,android,tiktok,TI41366,180.00,MT
100039,2025-11-23,android,tiktok,FA17350,200.00,DE
100040,2025-11-18,ios,instagram,GO40100,110.00,SI
100041,2025-11-20,ios,instagram,GO83103,300.00,ES
100042,2025-11-20,ios,instagram,IN32100,390.00,PT
100043,2025-11-16,ios,facebook,TW63651,270.00,ES
100044,2025-11-21,ios,facebook,GO25164,200.00,LU
100045,2025-11-16,ios,affiliate,TI14173,320.00,PT
100046,2025-11-23,ios,affiliate,FA73113,320.00,FI
100047,2025-11-19,android,twitter,FA94702,120.00,PT
100048,2025-11-12,android,twitter,GO83177,60.00,HU
100049,2025-11-24,ios,google,FA38838,310.00,CZ
100050,2025-11-18,ios,google,TW13289,380.00,FI
100051,2025-11-23,ios,google,FA82890,250.00,SI
100052,2025-11-15,ios,instagram,AF49902,220.00,ES
100053,2025-11-22,ios,instagram,GO05072,210.00,EE
100054,2025-11-19,ios,facebook,TW32817,130.00,FR
100055,2025-11-15,ios,facebook,FA81768,290.00,NL
100056,2025-11-18,ios,facebook,IN48749,280.00,RO
100057,2025-11-14,ios,affiliate,IN49555,240.00,LT
100058,2025-11-22,ios,affiliate,IN42837,160.00,AT
100059,2025-11-14,ios,affiliate,IN90797,110.00,FI
100060,2025-11-14,ios,affiliate,TW64772,110.00,GR
100061,2025-11-23,android,facebook,TI28782,220.00,IE
100062,2025-11-14,android,facebook,FA33528,100.00,LV
100063,2025-11-21,android,tiktok,TW77544,370.00,DK
100064,2025-11-20,android,tiktok,FA61922,70.00,SI
100065,2025-11-22,android,tiktok,TW84663,300.00,EE
100066,2025-11-22,android,tiktok,FA57884,260.00,BE
100067,2025-11-13,android,tiktok,TW11743,340.00,DK
100068,2025-11-24,android,google,FA66414,370.00,FI
