date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost_micros,conversions,view_through_conversions,_fivetran_synced,_fivetran_deleted
2024-01-01,111001,Brand - Search,ag_111001a,Brand Keywords,11276,300,840655904,6.67,4,2024-01-01T06:00:00Z,false
2024-01-01,111002,Competitor - Search,ag_111002a,Competitor Terms,2479,150,481332724,2.15,13,2024-01-01T06:00:00Z,false
2024-01-01,111003,Product - Search,ag_111003a,Product Keywords,1320,28,38929030,0.99,0,2024-01-01T06:00:00Z,false
2024-01-01,111004,Remarketing - Display,ag_111004a,All Visitors,9995,319,814945466,11.88,7,2024-01-01T06:00:00Z,false
2024-01-02,111001,Brand - Search,ag_111001a,Brand Keywords,8159,451,1346443467,4.66,5,2024-01-02T06:00:00Z,false
2024-01-02,111002,Competitor - Search,ag_111002a,Competitor Terms,7724,312,380575930,18.05,10,2024-01-02T06:00:00Z,false
2024-01-02,111003,Product - Search,ag_111003a,Product Keywords,2474,63,66851455,3.3,19,2024-01-02T06:00:00Z,false
2024-01-02,111004,Remarketing - Display,ag_111004a,All Visitors,5133,351,972366814,12.92,12,2024-01-02T06:00:00Z,false
2024-01-03,111001,Brand - Search,ag_111001a,Brand Keywords,2091,111,337372577,4.54,11,2024-01-03T06:00:00Z,false
2024-01-03,111002,Competitor - Search,ag_111002a,Competitor Terms,10259,323,319059045,13.91,9,2024-01-03T06:00:00Z,false
2024-01-03,111003,Product - Search,ag_111003a,Product Keywords,2107,150,470925885,4.35,14,2024-01-03T06:00:00Z,false
2024-01-03,111004,Remarketing - Display,ag_111004a,All Visitors,11215,785,972745358,21.79,8,2024-01-03T06:00:00Z,false
2024-01-04,111001,Brand - Search,ag_111001a,Brand Keywords,11999,706,1725925523,13.1,7,2024-01-04T06:00:00Z,false
2024-01-04,111002,Competitor - Search,ag_111002a,Competitor Terms,3477,165,252261756,9.28,17,2024-01-04T06:00:00Z,false
2024-01-04,111003,Product - Search,ag_111003a,Product Keywords,4398,268,824287649,13.08,7,2024-01-04T06:00:00Z,false
2024-01-04,111004,Remarketing - Display,ag_111004a,All Visitors,1325,90,169483043,1.2,18,2024-01-04T06:00:00Z,false
2024-01-05,111001,Brand - Search,ag_111001a,Brand Keywords,5955,195,418845258,10.58,20,2024-01-05T06:00:00Z,false
2024-01-05,111002,Competitor - Search,ag_111002a,Competitor Terms,8317,237,278949441,11.2,17,2024-01-05T06:00:00Z,false
2024-01-05,111003,Product - Search,ag_111003a,Product Keywords,5104,330,645734540,12.93,11,2024-01-05T06:00:00Z,false
2024-01-05,111004,Remarketing - Display,ag_111004a,All Visitors,4393,350,410723498,12.14,1,2024-01-05T06:00:00Z,false
2024-01-06,111001,Brand - Search,ag_111001a,Brand Keywords,2596,75,92396355,3.3,19,2024-01-06T06:00:00Z,false
2024-01-06,111002,Competitor - Search,ag_111002a,Competitor Terms,1840,79,190303001,2.64,8,2024-01-06T06:00:00Z,false
2024-01-06,111003,Product - Search,ag_111003a,Product Keywords,9864,706,586685124,32.5,17,2024-01-06T06:00:00Z,false
2024-01-06,111004,Remarketing - Display,ag_111004a,All Visitors,5171,341,585999558,8.41,5,2024-01-06T06:00:00Z,false
2024-01-07,111001,Brand - Search,ag_111001a,Brand Keywords,8233,166,456441661,7.63,16,2024-01-07T06:00:00Z,false
2024-01-07,111002,Competitor - Search,ag_111002a,Competitor Terms,3727,188,204414133,7.76,20,2024-01-07T06:00:00Z,false
2024-01-07,111003,Product - Search,ag_111003a,Product Keywords,9117,515,624523002,24.78,17,2024-01-07T06:00:00Z,false
2024-01-07,111004,Remarketing - Display,ag_111004a,All Visitors,9489,712,1721011069,24.51,3,2024-01-07T06:00:00Z,false
2024-01-08,111001,Brand - Search,ag_111001a,Brand Keywords,6747,490,1492293495,12.43,1,2024-01-08T06:00:00Z,false
2024-01-08,111002,Competitor - Search,ag_111002a,Competitor Terms,4746,344,1154726644,4.91,15,2024-01-08T06:00:00Z,false
2024-01-08,111003,Product - Search,ag_111003a,Product Keywords,1933,152,340222611,2.48,15,2024-01-08T06:00:00Z,false
2024-01-08,111004,Remarketing - Display,ag_111004a,All Visitors,9807,293,651842733,11.82,6,2024-01-08T06:00:00Z,false
2024-01-09,111001,Brand - Search,ag_111001a,Brand Keywords,9635,629,1674802199,28.71,12,2024-01-09T06:00:00Z,false
2024-01-09,111002,Competitor - Search,ag_111002a,Competitor Terms,11804,696,1380077677,24.97,3,2024-01-09T06:00:00Z,false
2024-01-09,111003,Product - Search,ag_111003a,Product Keywords,4861,162,277478624,6.39,7,2024-01-09T06:00:00Z,false
2024-01-09,111004,Remarketing - Display,ag_111004a,All Visitors,10441,346,343121740,14.38,7,2024-01-09T06:00:00Z,false
2024-01-10,111001,Brand - Search,ag_111001a,Brand Keywords,1904,141,440063196,1.91,7,2024-01-10T06:00:00Z,false
2024-01-10,111002,Competitor - Search,ag_111002a,Competitor Terms,5362,322,443857480,5.35,18,2024-01-10T06:00:00Z,false
2024-01-10,111003,Product - Search,ag_111003a,Product Keywords,10240,495,1444643860,24.94,6,2024-01-10T06:00:00Z,false
2024-01-10,111004,Remarketing - Display,ag_111004a,All Visitors,2345,60,117830291,1.87,14,2024-01-10T06:00:00Z,false
2024-01-11,111001,Brand - Search,ag_111001a,Brand Keywords,1687,101,349181853,1.51,12,2024-01-11T06:00:00Z,false
2024-01-11,111002,Competitor - Search,ag_111002a,Competitor Terms,6359,432,473051399,8.46,17,2024-01-11T06:00:00Z,false
2024-01-11,111003,Product - Search,ag_111003a,Product Keywords,8150,231,299241487,7.65,2,2024-01-11T06:00:00Z,false
2024-01-11,111004,Remarketing - Display,ag_111004a,All Visitors,8060,551,1714221945,8.21,20,2024-01-11T06:00:00Z,false
2024-01-12,111001,Brand - Search,ag_111001a,Brand Keywords,9656,677,2312828258,38.13,7,2024-01-12T06:00:00Z,false
2024-01-12,111002,Competitor - Search,ag_111002a,Competitor Terms,3524,156,327548165,8.3,1,2024-01-12T06:00:00Z,false
2024-01-12,111003,Product - Search,ag_111003a,Product Keywords,3497,149,515589747,3.47,14,2024-01-12T06:00:00Z,false
2024-01-12,111004,Remarketing - Display,ag_111004a,All Visitors,5473,248,839419892,14.82,17,2024-01-12T06:00:00Z,false
2024-01-13,111001,Brand - Search,ag_111001a,Brand Keywords,11644,734,893976348,18.23,1,2024-01-13T06:00:00Z,false
2024-01-13,111002,Competitor - Search,ag_111002a,Competitor Terms,10289,659,635661806,16.92,1,2024-01-13T06:00:00Z,false
2024-01-13,111003,Product - Search,ag_111003a,Product Keywords,10371,504,1654302007,18.42,1,2024-01-13T06:00:00Z,false
2024-01-13,111004,Remarketing - Display,ag_111004a,All Visitors,9120,226,294190391,8.98,7,2024-01-13T06:00:00Z,false
2024-01-14,111001,Brand - Search,ag_111001a,Brand Keywords,7415,201,643958925,4.48,19,2024-01-14T06:00:00Z,false
2024-01-14,111002,Competitor - Search,ag_111002a,Competitor Terms,1451,82,158416396,3.21,16,2024-01-14T06:00:00Z,false
2024-01-14,111003,Product - Search,ag_111003a,Product Keywords,5983,455,614932426,20.84,7,2024-01-14T06:00:00Z,false
2024-01-14,111004,Remarketing - Display,ag_111004a,All Visitors,5151,225,588051810,5.62,10,2024-01-14T06:00:00Z,false
2024-01-15,111001,Brand - Search,ag_111001a,Brand Keywords,1988,40,99085199,1.53,3,2024-01-15T06:00:00Z,false
2024-01-15,111002,Competitor - Search,ag_111002a,Competitor Terms,2000,104,225252422,1.73,11,2024-01-15T06:00:00Z,false
2024-01-15,111003,Product - Search,ag_111003a,Product Keywords,1927,140,251681239,2.5,17,2024-01-15T06:00:00Z,false
2024-01-15,111004,Remarketing - Display,ag_111004a,All Visitors,5756,326,1129762542,13.92,0,2024-01-15T06:00:00Z,false
2024-01-16,111001,Brand - Search,ag_111001a,Brand Keywords,11742,810,1302741331,34.97,4,2024-01-16T06:00:00Z,false
2024-01-16,111002,Competitor - Search,ag_111002a,Competitor Terms,5133,138,150281605,5.2,8,2024-01-16T06:00:00Z,false
2024-01-16,111003,Product - Search,ag_111003a,Product Keywords,5416,304,832216083,6.13,20,2024-01-16T06:00:00Z,false
2024-01-16,111004,Remarketing - Display,ag_111004a,All Visitors,5125,257,379853036,14.24,1,2024-01-16T06:00:00Z,false
2024-01-17,111001,Brand - Search,ag_111001a,Brand Keywords,2312,134,407258138,1.64,10,2024-01-17T06:00:00Z,false
2024-01-17,111002,Competitor - Search,ag_111002a,Competitor Terms,2943,171,257744744,8.05,17,2024-01-17T06:00:00Z,false
2024-01-17,111003,Product - Search,ag_111003a,Product Keywords,7807,418,460660861,23.93,4,2024-01-17T06:00:00Z,false
2024-01-17,111004,Remarketing - Display,ag_111004a,All Visitors,9738,215,386329879,8.09,13,2024-01-17T06:00:00Z,false
2024-01-18,111001,Brand - Search,ag_111001a,Brand Keywords,2888,65,115996340,3.68,1,2024-01-18T06:00:00Z,false
2024-01-18,111002,Competitor - Search,ag_111002a,Competitor Terms,6662,217,319799474,3.29,17,2024-01-18T06:00:00Z,false
2024-01-18,111003,Product - Search,ag_111003a,Product Keywords,7458,584,1648976297,32.87,7,2024-01-18T06:00:00Z,false
2024-01-18,111004,Remarketing - Display,ag_111004a,All Visitors,3462,272,813030751,14.71,0,2024-01-18T06:00:00Z,false
2024-01-19,111001,Brand - Search,ag_111001a,Brand Keywords,3738,239,405559282,13.51,7,2024-01-19T06:00:00Z,false
2024-01-19,111002,Competitor - Search,ag_111002a,Competitor Terms,5171,152,409404568,4.43,1,2024-01-19T06:00:00Z,false
2024-01-19,111003,Product - Search,ag_111003a,Product Keywords,8511,283,850353825,9.34,9,2024-01-19T06:00:00Z,false
2024-01-19,111004,Remarketing - Display,ag_111004a,All Visitors,4528,151,389895528,4.52,8,2024-01-19T06:00:00Z,false
2024-01-20,111001,Brand - Search,ag_111001a,Brand Keywords,1937,151,234599259,6.35,12,2024-01-20T06:00:00Z,false
2024-01-20,111002,Competitor - Search,ag_111002a,Competitor Terms,11933,941,2115163311,53.6,3,2024-01-20T06:00:00Z,false
2024-01-20,111003,Product - Search,ag_111003a,Product Keywords,5079,155,526820611,3.61,3,2024-01-20T06:00:00Z,false
2024-01-20,111004,Remarketing - Display,ag_111004a,All Visitors,10574,487,1347563900,12.51,19,2024-01-20T06:00:00Z,false
2024-01-21,111001,Brand - Search,ag_111001a,Brand Keywords,9179,247,797479706,4.82,1,2024-01-21T06:00:00Z,false
2024-01-21,111002,Competitor - Search,ag_111002a,Competitor Terms,7944,159,524549418,5.87,6,2024-01-21T06:00:00Z,false
2024-01-21,111003,Product - Search,ag_111003a,Product Keywords,6767,310,1042207944,17.37,19,2024-01-21T06:00:00Z,false
2024-01-21,111004,Remarketing - Display,ag_111004a,All Visitors,5943,355,403453365,19.53,16,2024-01-21T06:00:00Z,false
2024-01-22,111001,Brand - Search,ag_111001a,Brand Keywords,5867,352,591604232,15.79,17,2024-01-22T06:00:00Z,false
2024-01-22,111002,Competitor - Search,ag_111002a,Competitor Terms,2885,90,233577852,2.61,5,2024-01-22T06:00:00Z,false
2024-01-22,111003,Product - Search,ag_111003a,Product Keywords,10884,589,1116981340,30.44,9,2024-01-22T06:00:00Z,false
2024-01-22,111004,Remarketing - Display,ag_111004a,All Visitors,5500,179,522957241,7.22,10,2024-01-22T06:00:00Z,false
2024-01-23,111001,Brand - Search,ag_111001a,Brand Keywords,8418,391,1026059670,13.9,5,2024-01-23T06:00:00Z,false
2024-01-23,111002,Competitor - Search,ag_111002a,Competitor Terms,11594,290,635598923,12.08,10,2024-01-23T06:00:00Z,false
2024-01-23,111003,Product - Search,ag_111003a,Product Keywords,2330,161,455319748,7.03,7,2024-01-23T06:00:00Z,false
2024-01-23,111004,Remarketing - Display,ag_111004a,All Visitors,4062,117,108198913,6.93,19,2024-01-23T06:00:00Z,false
2024-01-24,111001,Brand - Search,ag_111001a,Brand Keywords,1993,94,300101547,3.65,12,2024-01-24T06:00:00Z,false
2024-01-24,111002,Competitor - Search,ag_111002a,Competitor Terms,8899,391,468591069,17.35,3,2024-01-24T06:00:00Z,false
2024-01-24,111003,Product - Search,ag_111003a,Product Keywords,7765,257,763571829,11.51,14,2024-01-24T06:00:00Z,false
2024-01-24,111004,Remarketing - Display,ag_111004a,All Visitors,1622,86,281836537,1.38,4,2024-01-24T06:00:00Z,false
2024-01-25,111001,Brand - Search,ag_111001a,Brand Keywords,8412,505,1750991359,20.09,14,2024-01-25T06:00:00Z,false
2024-01-25,111002,Competitor - Search,ag_111002a,Competitor Terms,10837,746,2393507280,23.38,17,2024-01-25T06:00:00Z,false
2024-01-25,111003,Product - Search,ag_111003a,Product Keywords,8105,598,1679106076,20.17,8,2024-01-25T06:00:00Z,false
