day,campaign_id,campaign_name,impressions,clicks,cost_in_usd,external_website_conversions,video_views,likes,shares,comments,_fivetran_synced,_fivetran_deleted
2024-01-01,331001,Brand Awareness - IT Decision Makers,729,9,10059,1,14,50,1,3,2024-01-01T08:00:00Z,false
2024-01-01,331002,Lead Gen - CTO Persona,1113,15,19169,0,45,45,6,2,2024-01-01T08:00:00Z,false
2024-01-01,331003,Retargeting - Website Visitors,956,5,4981,0,88,30,5,1,2024-01-01T08:00:00Z,false
2024-01-02,331001,Brand Awareness - IT Decision Makers,311,1,589,0,73,42,7,1,2024-01-02T08:00:00Z,false
2024-01-02,331002,Lead Gen - CTO Persona,668,11,6325,0,32,41,3,3,2024-01-02T08:00:00Z,false
2024-01-02,331003,Retargeting - Website Visitors,1512,13,7151,0,5,18,5,5,2024-01-02T08:00:00Z,false
2024-01-03,331001,Brand Awareness - IT Decision Makers,1580,17,10470,0,1,8,10,5,2024-01-03T08:00:00Z,false
2024-01-03,331002,Lead Gen - CTO Persona,998,9,12550,1,93,5,5,2,2024-01-03T08:00:00Z,false
2024-01-03,331003,Retargeting - Website Visitors,1049,7,6301,1,34,24,7,3,2024-01-03T08:00:00Z,false
2024-01-04,331001,Brand Awareness - IT Decision Makers,2957,54,36006,0,89,46,0,1,2024-01-04T08:00:00Z,false
2024-01-04,331002,Lead Gen - CTO Persona,724,8,8726,1,23,39,6,2,2024-01-04T08:00:00Z,false
2024-01-04,331003,Retargeting - Website Visitors,2804,15,17766,0,61,31,1,3,2024-01-04T08:00:00Z,false
2024-01-05,331001,Brand Awareness - IT Decision Makers,2105,11,8377,1,1,45,10,4,2024-01-05T08:00:00Z,false
2024-01-05,331002,Lead Gen - CTO Persona,3443,55,67307,0,85,21,8,4,2024-01-05T08:00:00Z,false
2024-01-05,331003,Retargeting - Website Visitors,3119,48,28571,2,93,15,7,2,2024-01-05T08:00:00Z,false
2024-01-06,331001,Brand Awareness - IT Decision Makers,3018,45,39819,2,78,3,0,5,2024-01-06T08:00:00Z,false
2024-01-06,331002,Lead Gen - CTO Persona,942,11,10662,1,21,4,7,2,2024-01-06T08:00:00Z,false
2024-01-06,331003,Retargeting - Website Visitors,1286,12,9337,0,70,41,6,3,2024-01-06T08:00:00Z,false
2024-01-07,331001,Brand Awareness - IT Decision Makers,3646,31,29731,1,11,31,7,2,2024-01-07T08:00:00Z,false
2024-01-07,331002,Lead Gen - CTO Persona,786,15,18678,0,13,25,6,0,2024-01-07T08:00:00Z,false
2024-01-07,331003,Retargeting - Website Visitors,2582,34,45080,1,65,35,3,5,2024-01-07T08:00:00Z,false
2024-01-08,331001,Brand Awareness - IT Decision Makers,3050,36,30270,0,28,29,5,4,2024-01-08T08:00:00Z,false
2024-01-08,331002,Lead Gen - CTO Persona,3443,49,47683,2,46,45,7,0,2024-01-08T08:00:00Z,false
2024-01-08,331003,Retargeting - Website Visitors,699,11,7939,1,45,40,4,4,2024-01-08T08:00:00Z,false
2024-01-09,331001,Brand Awareness - IT Decision Makers,2438,25,15158,0,63,8,6,0,2024-01-09T08:00:00Z,false
2024-01-09,331002,Lead Gen - CTO Persona,1341,18,12375,1,27,29,3,5,2024-01-09T08:00:00Z,false
2024-01-09,331003,Retargeting - Website Visitors,1684,11,10059,0,98,28,7,5,2024-01-09T08:00:00Z,false
2024-01-10,331001,Brand Awareness - IT Decision Makers,2713,52,33001,1,0,33,0,4,2024-01-10T08:00:00Z,false
2024-01-10,331002,Lead Gen - CTO Persona,2072,36,35385,0,88,37,2,5,2024-01-10T08:00:00Z,false
2024-01-10,331003,Retargeting - Website Visitors,3639,25,22185,1,64,24,6,4,2024-01-10T08:00:00Z,false
2024-01-11,331001,Brand Awareness - IT Decision Makers,3136,51,39453,1,37,28,2,1,2024-01-11T08:00:00Z,false
2024-01-11,331002,Lead Gen - CTO Persona,1990,27,37433,1,89,35,5,5,2024-01-11T08:00:00Z,false
2024-01-11,331003,Retargeting - Website Visitors,3318,63,71352,1,26,39,4,5,2024-01-11T08:00:00Z,false
2024-01-12,331001,Brand Awareness - IT Decision Makers,1714,32,20245,0,64,34,10,2,2024-01-12T08:00:00Z,false
2024-01-12,331002,Lead Gen - CTO Persona,3209,21,17896,1,74,36,10,5,2024-01-12T08:00:00Z,false
