date_start,date_stop,campaign_id,campaign_name,adset_id,adset_name,objective,impressions,clicks,spend,reach,frequency,actions,_fivetran_synced,_fivetran_deleted
2024-01-01,2024-01-01,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,10672,384,869.38,7470,2.6,"[{""action_type"":""purchase"",""value"":""13.44""},{""action_type"":""link_click"",""value"":""384""}]",2024-01-01T07:00:00Z,false
2024-01-01,2024-01-01,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,18319,834,1463.53,12823,1.76,"[{""action_type"":""purchase"",""value"":""40.46""},{""action_type"":""link_click"",""value"":""834""}]",2024-01-01T07:00:00Z,false
2024-01-01,2024-01-01,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,10024,422,875.85,7016,1.18,"[{""action_type"":""purchase"",""value"":""11.75""},{""action_type"":""link_click"",""value"":""422""}]",2024-01-01T07:00:00Z,false
2024-01-01,2024-01-01,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,3963,64,93.18,2774,1.85,"[{""action_type"":""purchase"",""value"":""2.42""},{""action_type"":""link_click"",""value"":""64""}]",2024-01-01T07:00:00Z,false
2024-01-02,2024-01-02,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,6707,150,322.84,4694,3.15,"[{""action_type"":""purchase"",""value"":""8.11""},{""action_type"":""link_click"",""value"":""150""}]",2024-01-02T07:00:00Z,false
2024-01-02,2024-01-02,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,15065,229,309.66,10545,1.8,"[{""action_type"":""purchase"",""value"":""10.01""},{""action_type"":""link_click"",""value"":""229""}]",2024-01-02T07:00:00Z,false
2024-01-02,2024-01-02,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,17285,257,394.26,12099,1.13,"[{""action_type"":""purchase"",""value"":""4.74""},{""action_type"":""link_click"",""value"":""257""}]",2024-01-02T07:00:00Z,false
2024-01-02,2024-01-02,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,14587,650,950.11,10210,3.26,"[{""action_type"":""purchase"",""value"":""44.04""},{""action_type"":""link_click"",""value"":""650""}]",2024-01-02T07:00:00Z,false
2024-01-03,2024-01-03,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,12729,602,1299.47,8910,1.4,"[{""action_type"":""purchase"",""value"":""12.88""},{""action_type"":""link_click"",""value"":""602""}]",2024-01-03T07:00:00Z,false
2024-01-03,2024-01-03,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,18866,540,1361.81,13206,1.23,"[{""action_type"":""purchase"",""value"":""21.51""},{""action_type"":""link_click"",""value"":""540""}]",2024-01-03T07:00:00Z,false
